Município de residência,Rio de Janeiro
2020/01/04,1
2020/01/06,1
2020/01/09,2
2020/01/11,1
2020/01/12,2
2020/01/13,2
2020/01/14,2
2020/01/15,3
2020/01/16,2
2020/01/17,2
2020/01/19,3
2020/01/20,2
2020/01/28,1
2020/01/29,1
2020/01/30,1
2020/02/02,4
2020/02/11,2
2020/02/20,1
2020/02/27,2
2020/03/03,2
2020/03/04,4
2020/03/05,2
2020/03/06,5
2020/03/07,9
2020/03/08,1
2020/03/09,4
2020/03/10,20
2020/03/11,16
2020/03/12,20
2020/03/13,26
2020/03/14,9
2020/03/15,17
2020/03/16,20
2020/03/17,91
2020/03/18,65
2020/03/19,78
2020/03/20,85
2020/03/21,27
2020/03/22,33
2020/03/23,122
2020/03/24,122
2020/03/25,106
2020/03/26,137
2020/03/27,257
2020/03/28,114
2020/03/29,76
2020/03/30,415
2020/03/31,322
2020/04/01,256
2020/04/02,308
2020/04/03,357
2020/04/04,156
2020/04/05,109
2020/04/06,548
2020/04/07,566
2020/04/08,457
2020/04/09,366
2020/04/10,405
2020/04/11,386
2020/04/12,417
2020/04/13,709
2020/04/14,997
2020/04/15,773
2020/04/16,762
2020/04/17,638
2020/04/18,280
2020/04/19,342
2020/04/20,1190
2020/04/21,353
2020/04/22,783
2020/04/23,372
2020/04/24,1281
2020/04/25,392
2020/04/26,312
2020/04/27,1321
2020/04/28,1637
2020/04/29,1064
2020/04/30,1179
2020/05/01,402
2020/05/02,389
2020/05/03,328
2020/05/04,1245
2020/05/05,1135
2020/05/06,1052
2020/05/07,995
2020/05/08,1032
2020/05/09,295
2020/05/10,244
2020/05/11,775
2020/05/12,1079
2020/05/13,1146
2020/05/14,865
2020/05/15,763
2020/05/16,370
2020/05/17,289
2020/05/18,830
2020/05/19,1265
2020/05/20,993
2020/05/21,1117
2020/05/22,907
2020/05/23,345
2020/05/24,539
2020/05/25,867
2020/05/26,673
2020/05/27,1191
2020/05/28,982
2020/05/29,877
2020/05/30,391
2020/05/31,471
2020/06/01,948
2020/06/02,820
2020/06/03,980
2020/06/04,726
2020/06/05,581
2020/06/06,186
2020/06/07,202
2020/06/08,835
2020/06/09,869
2020/06/10,792
2020/06/11,232
2020/06/12,789
2020/06/13,297
2020/06/14,339
2020/06/15,1293
2020/06/16,1387
2020/06/17,1586
2020/06/18,985
2020/06/19,1045
2020/06/20,184
2020/06/21,250
2020/06/22,1174
2020/06/23,711
2020/06/24,822
2020/06/25,740
2020/06/26,523
2020/06/27,280
2020/06/28,134
2020/06/29,600
2020/06/30,798
2020/07/01,706
2020/07/02,657
