Datas,Niterói,óbitos,
2020/03/27,0.0,0.0,
2020/03/28,37.0,1.0,
2020/03/29,2.0,0.0,
2020/03/30,8.0,0.0,
2020/03/31,10.0,0.0,
2020/04/01,5.0,0.0,
2020/04/02,1.0,0.0,
2020/04/03,2.0,0.0,
2020/04/04,14.0,1.0,
2020/04/05,8.0,0.0,
2020/04/06,5.0,0.0,
2020/04/07,2.0,0.0,
2020/04/08,12.0,0.0,
2020/04/09,11.0,3.0,
2020/04/10,0.0,0.0,
2020/04/11,3.0,1.0,
2020/04/12,0.0,0.0,
2020/04/13,4.0,1.0,
2020/04/14,24.0,3.0,
2020/04/15,19.0,1.0,
2020/04/16,0.0,0.0,
2020/04/17,18.0,3.0,
2020/04/18,14.0,0.0,
2020/04/19,13.0,0.0,
2020/04/20,2.0,2.0,
2020/04/21,19.0,0.0,
2020/04/22,6.0,0.0,
2020/04/23,0.0,0.0,
2020/04/24,10.0,1.0,
2020/04/25,5.0,0.0,
2020/04/26,6.0,2.0,
2020/04/27,6.0,1.0,
2020/04/28,16.0,0.0,
2020/04/29,0.0,0.0,
2020/04/30,62.0,5.0,
2020/05/01,62.0,1.0,
2020/05/02,4.0,0.0,
2020/05/03,12.0,1.0,
2020/05/04,14.0,0.0,
2020/05/05,22.0,4.0,
2020/05/06,42.0,2.0,
2020/05/07,24.0,2.0,
2020/05/08,106.0,5.0,
2020/05/09,-1.0,-1.0,
2020/05/10,127.0,4.0,
2020/05/11,23.0,2.0,
2020/05/12,0.0,0.0,
2020/05/13,0.0,0.0,
2020/05/14,0.0,0.0,
2020/05/15,11.0,11.0,
2020/05/16,398.0,9.0,
2020/05/17,0.0,0.0,
2020/05/18,780.0,0.0,
2020/05/19,0.0,0.0,
2020/05/20,0.0,0.0,
2020/05/21,0.0,0.0,
2020/05/22,14.0,23.0,
2020/05/23,1.0,1.0,
2020/05/24,0.0,0.0,
2020/05/25,58.0,0.0,
2020/05/26,-349.0,3.0,
2020/05/27,0.0,0.0,
2020/05/28,601.0,7.0,
2020/05/29,454.0,3.0,
2020/05/30,303.0,2.0,
2020/05/31,15.0,0.0,
2020/06/01,21.0,0.0,
2020/06/02,166.0,9.0,
2020/06/03,105.0,9.0,
2020/06/04,90.0,5.0,
2020/06/05,59.0,0.0,
2020/06/06,80.0,-1.0,
2020/06/07,329.0,0.0,
2020/06/08,271.0,0.0,
2020/06/09,141.0,8.0,
2020/06/10,-39.0,1.0,
2020/06/11,-3.0,8.0,
2020/06/12,128.0,1.0,
2020/06/13,102.0,2.0,
2020/06/14,57.0,0.0,
2020/06/15,99.0,0.0,
2020/06/16,48.0,9.0,
2020/06/17,120.0,11.0,
2020/06/18,4.0,4.0,
2020/06/19,376.0,2.0,
2020/06/20,128.0,3.0,
2020/06/21,23.0,0.0,
2020/06/22,56.0,1.0,
2020/06/23,114.0,3.0,
2020/06/24,154.0,5.0,
2020/06/25,228.0,0.0,
2020/06/26,183.0,-1.0,
2020/06/27,16.0,1.0,
2020/06/28,225.0,1.0,
2020/06/29,11.0,0.0,
2020/06/30,20.0,45.0,
2020/07/01,0.0,-22.0,
2020/07/02,0.0,0.0,
2020/07/03,0.0,0.0,
2020/07/04,0.0,23.0,
2020/07/05,324.0,1.0,
2020/07/06,21.0,0.0,
2020/07/07,87.0,0.0,
2020/07/08,102.0,0.0,
2020/07/09,58.0,2.0,
2020/07/10,157.0,4.0,
2020/07/11,13.0,4.0,
2020/07/12,0.0,0.0,
2020/07/13,128.0,0.0,
2020/07/14,27.0,12.0,
2020/07/15,163.0,1.0,
2020/07/16,6.0,6.0,
2020/07/17,0.0,0.0,
2020/07/18,0.0,0.0,
2020/07/19,262.0,9.0,
2020/07/20,282.0,0.0,
2020/07/21,220.0,1.0,
2020/07/22,94.0,0.0,
2020/07/23,134.0,2.0,
2020/07/24,118.0,10.0,
2020/07/25,109.0,9.0,
2020/07/26,0.0,0.0,
2020/07/27,11.0,0.0,
2020/07/28,112.0,2.0,
2020/07/29,94.0,-1.0,
2020/07/30,81.0,7.0,
2020/07/31,99.0,9.0,
2020/08/01,0.0,0.0,
2020/08/02,0.0,0.0,
2020/08/03,0.0,0.0,
2020/08/04,0.0,0.0,
2020/08/05,0.0,0.0,
2020/08/06,0.0,0.0,
2020/08/07,0.0,0.0,
2020/08/08,211.0,1.0,
2020/08/09,90.0,0.0,
2020/08/10,0.0,0.0,
2020/08/11,219.0,4.0,
2020/08/12,0.0,0.0,
2020/08/13,119.0,6.0,
2020/08/14,212.0,5.0,
2020/08/15,23.0,5.0,
2020/08/16,20.0,0.0,
2020/08/17,0.0,0.0,
2020/08/18,161.0,0.0,
2020/08/19,0.0,0.0,
2020/08/20,180.0,12.0,
2020/08/21,0.0,0.0,
2020/08/22,115.0,5.0,
2020/08/23,3.0,0.0,
2020/08/24,0.0,0.0,
2020/08/25,174.0,6.0,
2020/08/26,0.0,0.0,
2020/08/27,246.0,5.0,
2020/08/28,0.0,0.0,
2020/08/29,233.0,7.0,
2020/08/30,25.0,0.0,
2020/08/31,20.0,0.0,
2020/09/01,126.0,6.0,
2020/09/02,46.0,0.0,
2020/09/03,178.0,8.0,
2020/09/04,409.0,0.0,
2020/09/05,0.0,0.0,
2020/09/06,-252.0,11.0,
2020/09/07,0.0,0.0,
2020/09/08,40.0,0.0,
2020/09/09,70.0,4.0,
2020/09/10,70.0,0.0,
2020/09/11,56.0,0.0,
2020/09/12,100.0,1.0,
2020/09/13,100.0,0.0,
2020/09/14,92.0,0.0,
2020/09/15,30.0,14.0,
2020/09/16,30.0,0.0,
2020/09/17,30.0,0.0,
2020/09/18,25.0,0.0,
2020/09/19,115.0,4.0,
2020/09/20,0.0,0.0,
2020/09/21,0.0,0.0,
2020/09/22,342.0,0.0,
2020/09/23,74.0,2.0,
2020/09/24,79.0,0.0,
2020/09/25,76.0,0.0,
2020/09/26,60.0,5.0,
2020/09/27,60.0,0.0,
2020/09/28,60.0,0.0,
2020/09/29,72.0,0.0,
2020/09/30,80.0,3.0,
2020/10/01,80.0,0.0,
2020/10/02,78.0,0.0,
2020/10/03,80.0,21.0,
2020/10/04,80.0,0.0,
2020/10/05,80.0,0.0,
2020/10/06,78.0,0.0,
2020/10/07,66.0,1.0,
2020/10/08,66.0,0.0,
2020/10/09,66.0,0.0,
2020/10/10,78.0,7.0,
2020/10/11,78.0,0.0,
2020/10/12,78.0,0.0,
2020/10/13,78.0,0.0,
2020/10/14,42.0,7.0,
2020/10/15,40.0,0.0,
2020/10/16,40.0,0.0,
2020/10/17,0.0,0.0,
2020/10/18,224.0,13.0,
2020/10/19,112.0,0.0,
2020/10/20,112.0,0.0,
2020/10/21,70.0,13.0,
2020/10/22,70.0,0.0,
2020/10/23,72.0,0.0,
2020/10/24,90.0,4.0,
2020/10/25,90.0,0.0,
2020/10/26,90.0,0.0,
2020/10/27,76.0,11.0,
2020/10/28,76.0,0.0,
2020/10/29,78.0,0.0,
2020/10/30,86.0,13.0,
2020/10/31,86.0,0.0,
2020/11/01,86.0,0.0,
2020/11/02,86.0,0.0,
2020/11/03,89.0,0.0,
2020/11/04,68.0,7.0,
2020/11/05,68.0,0.0,
2020/11/06,70.0,0.0,
2020/11/07,80.0,12.0,
2020/11/08,80.0,0.0,
2020/11/09,80.0,0.0,
2020/11/10,85.0,0.0,
2020/11/11,199.0,0.0,
2020/11/12,0.0,0.0,
2020/11/13,0.0,0.0,
2020/11/14,280.0,6.0,
2020/11/15,37.0,0.0,
2020/11/16,37.0,0.0,
2020/11/17,39.0,0.0,
2020/11/18,102.0,16.0,
2020/11/19,27.0,0.0,
2020/11/20,27.0,0.0,
2020/11/21,27.0,0.0,
2020/11/22,27.0,0.0,
2020/11/23,27.0,0.0,
2020/11/24,30.0,0.0,
2020/11/25,100.0,19.0,
2020/11/26,269.0,0.0,
2020/11/27,270.0,0.0,
2020/11/28,113.0,19.0,
2020/11/29,90.0,0.0,
2020/11/30,90.0,0.0,
2020/12/01,90.0,0.0,
2020/12/02,199.0,7.0,
2020/12/03,165.0,0.0,
2020/12/04,164.0,0.0,
2020/12/05,200.0,11.0,
2020/12/06,146.0,0.0,
2020/12/07,146.0,0.0,
2020/12/08,146.0,0.0,
2020/12/09,201.0,8.0,
2020/12/10,196.0,0.0,
2020/12/11,196.0,0.0,
2020/12/12,300.0,16.0,
2020/12/13,217.0,0.0,
2020/12/14,215.0,0.0,
2020/12/15,215.0,0.0,
2020/12/16,111.0,8.0,
2020/12/17,100.0,0.0,
2020/12/18,100.0,0.0,
2020/12/19,200.0,22.0,
2020/12/20,171.0,0.0,
2020/12/21,171.0,1.0,
2020/12/22,171.0,0.0,
2020/12/23,100.0,121.0,
2020/12/24,179.0,-111.0,
2020/12/25,68.0,0.0,
2020/12/26,68.0,0.0,
2020/12/27,68.0,0.0,
2020/12/28,68.0,0.0,
2020/12/29,68.0,0.0,
2020/12/30,4.0,15.0,
2020/12/31,108.0,0.0,
2021/01/01,108.0,0.0,
2021/01/02,108.0,0.0,
2021/01/03,108.0,0.0,
