Data da notificacao,Niterói
2020/03/15,3
2020/03/16,3
2020/03/17,1
2020/03/18,5
2020/03/19,5
2020/03/20,8
2020/03/21,2
2020/03/22,4
2020/03/23,5
2020/03/24,5
2020/03/25,3
2020/03/26,3
2020/03/27,12
2020/03/28,3
2020/03/29,6
2020/03/30,21
2020/03/31,21
2020/04/01,12
2020/04/02,15
2020/04/03,21
2020/04/04,7
2020/04/05,7
2020/04/06,29
2020/04/07,14
2020/04/08,22
2020/04/09,24
2020/04/10,14
2020/04/11,10
2020/04/12,12
2020/04/13,49
2020/04/14,51
2020/04/15,68
2020/04/16,41
2020/04/17,26
2020/04/18,18
2020/04/19,12
2020/04/20,60
2020/04/21,29
2020/04/22,36
2020/04/23,23
2020/04/24,72
2020/04/25,23
2020/04/26,26
2020/04/27,77
2020/04/28,71
2020/04/29,101
2020/04/30,112
2020/05/01,24
2020/05/02,31
2020/05/03,15
2020/05/04,130
2020/05/05,118
2020/05/06,112
2020/05/07,119
2020/05/08,154
2020/05/09,26
2020/05/10,13
2020/05/11,94
2020/05/12,186
2020/05/13,227
2020/05/14,158
2020/05/15,152
2020/05/16,17
2020/05/17,37
2020/05/18,180
2020/05/19,215
2020/05/20,181
2020/05/21,163
2020/05/22,122
2020/05/23,27
2020/05/24,26
2020/05/25,234
2020/05/26,134
2020/05/27,199
2020/05/28,149
2020/05/29,109
2020/05/30,25
2020/05/31,19
2020/06/01,163
2020/06/02,146
2020/06/03,146
2020/06/04,140
2020/06/05,156
2020/06/06,18
2020/06/07,18
2020/06/08,166
2020/06/09,136
2020/06/10,137
2020/06/11,53
2020/06/12,104
2020/06/13,36
2020/06/14,30
2020/06/15,146
2020/06/16,160
2020/06/17,124
2020/06/18,124
2020/06/19,119
2020/06/20,28
2020/06/21,18
2020/06/22,105
2020/06/23,152
2020/06/24,110
2020/06/25,104
2020/06/26,152
2020/06/27,22
2020/06/28,5
2020/06/29,134
2020/06/30,126
2020/07/01,138
2020/07/02,92
2020/07/03,107
2020/07/04,27
2020/07/05,21
2020/07/06,117
2020/07/07,104
2020/07/08,70
2020/07/09,71
2020/07/10,88
2020/07/11,26
2020/07/12,17
2020/07/13,94
2020/07/14,70
2020/07/15,69
2020/07/16,71
2020/07/17,72
2020/07/18,15
2020/07/19,9
2020/07/20,88
2020/07/21,137
2020/07/22,112
2020/07/23,79
2020/07/24,100
2020/07/25,15
2020/07/26,8
2020/07/27,107
2020/07/28,87
2020/07/29,75
2020/07/30,126
2020/07/31,55
2020/08/01,19
2020/08/02,46
2020/08/03,117
2020/08/04,123
2020/08/05,82
2020/08/06,118
2020/08/07,79
2020/08/08,21
2020/08/09,8
2020/08/10,150
2020/08/11,96
2020/08/12,110
2020/08/13,75
2020/08/14,108
2020/08/15,10
2020/08/16,17
2020/08/17,102
2020/08/18,80
2020/08/19,77
2020/08/20,60
2020/08/21,98
2020/08/22,19
2020/08/23,7
2020/08/24,122
2020/08/25,112
2020/08/26,120
2020/08/27,138
2020/08/28,108
2020/08/29,16
2020/08/30,13
2020/08/31,94
2020/09/01,107
2020/09/02,116
2020/09/03,124
2020/09/04,131
2020/09/05,19
2020/09/06,16
2020/09/07,6
2020/09/08,141
2020/09/09,170
2020/09/10,145
2020/09/11,84
2020/09/12,15
2020/09/13,9
2020/09/14,150
2020/09/15,147
2020/09/16,166
2020/09/17,92
2020/09/18,87
2020/09/19,13
2020/09/20,8
2020/09/21,105
2020/09/22,123
2020/09/23,147
2020/09/24,76
2020/09/25,80
2020/09/26,13
2020/09/27,20
2020/09/28,149
2020/09/29,134
2020/09/30,123
2020/10/01,115
2020/10/02,109
2020/10/03,14
2020/10/04,14
2020/10/05,120
2020/10/06,166
2020/10/07,124
2020/10/08,102
2020/10/09,115
2020/10/10,13
2020/10/11,17
2020/10/12,16
2020/10/13,168
2020/10/14,104
2020/10/15,148
2020/10/16,124
2020/10/17,12
2020/10/18,10
2020/10/19,140
2020/10/20,151
2020/10/21,150
2020/10/22,146
2020/10/23,140
2020/10/24,14
2020/10/25,15
2020/10/26,165
2020/10/27,191
2020/10/28,170
2020/10/29,184
2020/10/30,32
2020/10/31,19
2020/11/01,17
2020/11/02,24
2020/11/03,171
2020/11/04,151
2020/11/05,213
2020/11/06,184
2020/11/07,22
2020/11/08,27
2020/11/09,193
2020/11/10,213
2020/11/11,214
2020/11/12,163
2020/11/13,177
2020/11/14,46
2020/11/15,13
2020/11/16,237
2020/11/17,215
2020/11/18,178
2020/11/19,248
2020/11/20,43
2020/11/21,45
2020/11/22,28
2020/11/23,290
2020/11/24,341
2020/11/25,179
2020/11/26,330
2020/11/27,250
2020/11/28,43
2020/11/29,25
2020/11/30,349
2020/12/01,265
2020/12/02,261
2020/12/03,298
2020/12/04,363
2020/12/05,47
2020/12/06,27
2020/12/07,269
2020/12/08,331
2020/12/09,440
2020/12/10,409
2020/12/11,328
2020/12/12,21
2020/12/13,24
2020/12/14,254
2020/12/15,361
2020/12/16,365
2020/12/17,363
2020/12/18,259
2020/12/19,37
2020/12/20,22
2020/12/21,308
2020/12/22,238
2020/12/23,297
2020/12/24,17
2020/12/25,20
2020/12/26,37
2020/12/27,24
2020/12/28,403
2020/12/29,332
2020/12/30,325
2020/12/31,56
2021/01/01,34
2021/01/02,61
2021/01/03,49
2021/01/04,312
2021/01/05,332
2021/01/06,313
2021/01/07,232
2021/01/08,221
2021/01/09,36
2021/01/10,36
2021/01/11,250
2021/01/12,249
2021/01/13,267
2021/01/14,235
2021/01/15,216
2021/01/16,23
2021/01/17,9
2021/01/18,251
2021/01/19,248
2021/01/20,154
