,Confirmados,Mortes,Recuperados
21-5-2020,32089,3412.0,0.0
22-5-2020,33589,3657.0,0.0
23-5-2020,34533,3905.0,0.0
24-5-2020,37912,3993.0,0.0
25-5-2020,39298,4105.0,0.0
26-5-2020,40024,4361.0,0.0
27-5-2020,42398,4605.0,0.0
28-5-2020,44886,4856.0,0.0
29-5-2020,47953,5079.0,0.0
30-5-2020,52420,5277.0,0.0
31-5-2020,53388,5344.0,0.0
1-6-2020,54530,5462.0,0.0
2-6-2020,56732,5686.0,0.0
3-6-2020,59240,6010.0,0.0
4-6-2020,60932,6327.0,0.0
5-6-2020,63066,6473.0,0.0
6-6-2020,64533,6639.0,0.0
7-6-2020,67756,6707.0,0.0
8-6-2020,69499,6781.0,53445.0
9-6-2020,72979,6928.0,56552.0
10-6-2020,74373,7138.0,57933.0
11-6-2020,75775,7363.0,60005.0
12-6-2020,77784,7417.0,61690.0
13-6-2020,78836,7592.0,62375.0
14-6-2020,79572,7672.0,63817.0
15-6-2020,80946,7728.0,65063.0
16-6-2020,83343,7967.0,65063.0
17-6-2020,86963,8138.0,69559.0
18-6-2020,87317,8412.0,70407.0
19-6-2020,93378,8595.0,70407.0
20-6-2020,95537,8824.0,75899.0
21-6-2020,96133,8875.0,76821.0
22-6-2020,97572,8933.0,78316.0
23-6-2020,100869,9153.0,78316.0
24-6-2020,103493,9295.0,83800.0
25-6-2020,105897,9450.0,85690.0
26-6-2020,108497,9587.0,87850.0
27-6-2020,108803,9789.0,88784.0
28-6-2020,111298,9819.0,91106.0
29-6-2020,111883,9848.0,92161.0
30-6-2020,112611,10080.0,93423.0
1-7-2020,115278,10198.0,95028.0
2-7-2020,116823,10332.0,95028.0
3-7-2020,118956,10500.0,98540.0
4-7-2020,120440,10624.0,98540.0
5-7-2020,121292,10667.0,97719.0
6-7-2020,121879,10698.0,101554.0
7-7-2020,124086,10881.0,101554.0
8-7-2020,126329,10970.0,105231.0
9-7-2020,128324,11115.0,105231.0
10-7-2020,129443,11280.0,108151.0
11-7-2020,129675,11406.0,109061.0
12-7-2020,129684,11415.0,110061.0
13-7-2020,132044,11474.0,111189.0
14-7-2020,132822,11624.0,112355.0
15-7-2020,134449,11757.0,114351.0
16-7-2020,134573,11849.0,114351.0
17-7-2020,135230,11919.0,115201.0
18-7-2020,135230,11919.0,115201.0
19-7-2020,138524,12114.0,115201.0
20-7-2020,141005,12161.0,118298.0
21-7-2020,145121,12293.0,124686.0
22-7-2020,148623,12443.0,124686.0
23-7-2020,151549,12535.0,127003.0
24-7-2020,154879,12654.0,129896.0
25-7-2020,156293,12808.0,133831.0
26-7-2020,156325,12835.0,134419.0
27-7-2020,157834,12876.0,135552.0
28-7-2020,159639,13033.0,136941.0
29-7-2020,161647,13198.0,138498.0
30-7-2020,163642,13348.0,139967.0
31-7-2020,165495,13477.0,141413.0
1-8-2020,167213,13556.0,143322.0
2-8-2020,167225,13572.0,143822.0
3-8-2020,168064,13604.0,144850.0
4-8-2020,168911,13715.0,150976.0
5-8-2020,172679,13855.0,153966.0
6-8-2020,174064,13941.0,155312.0
7-8-2020,175696,14028.0,156785.0
8-8-2020,178524,14070.0,159372.0
9-8-2020,178850,14080.0,159372.0
10-8-2020,180016,14108.0,161329.0
11-8-2020,182563,14212.0,163579.0
12-8-2020,185610,14295.0,165894.0
13-8-2020,188085,14412.0,167609.0
14-8-2020,189891,14507.0,167609.0
15-8-2020,190614,14526.0,171123.0
16-8-2020,194279,14562.0,174747.0
17-8-2020,194651,14566.0,175355.0
18-8-2020,199480,14728.0,179501.0
19-8-2020,202993,14913.0,182513.0
20-8-2020,205916,15074.0,184641.0
21-8-2020,207036,15202.0,184641.0
22-8-2020,210464,15267.0,188731.0
23-8-2020,210948,15292.0,188731.0
24-8-2020,211360,15392.0,190562.0
25-8-2020,214003,15560.0,192828.0
26-8-2020,216675,15700.0,195166.0
27-8-2020,219198,15859.0,197196.0
28-8-2020,219198,15859.0,197196.0
29-8-2020,222957,16016.0,200853.0
30-8-2020,223302,16027.0,201715.0
31-8-2020,223631,16065.0,202227.0
1-9-2020,226800,16217.0,204845.0
