Semanas,Casos confirmados por semana,Mortes + Recuperados por semana
28-5-2020,12797.0,1444.0
4-6-2020,16046.0,1471.0
11-6-2020,14843.0,61041.0
18-6-2020,11542.0,11451.0
25-6-2020,18580.0,16321.0
2-7-2020,10926.0,10220.0
9-7-2020,11501.0,10986.0
16-7-2020,6249.0,9854.0
23-7-2020,16976.0,13338.0
30-7-2020,12093.0,13777.0
6-8-2020,10422.0,15938.0
13-8-2020,14021.0,12768.0
20-8-2020,17831.0,17694.0
27-8-2020,13282.0,13340.0
3-9-2020,11073.0,11332.0
10-9-2020,4542.0,6446.0
17-9-2020,12030.0,11497.0
24-9-2020,11142.0,10288.0
1-10-2020,8250.0,8886.0
8-10-2020,13909.0,13150.0
15-10-2020,6138.0,3829.0
22-10-2020,8739.0,466.0
29-10-2020,12996.0,23854.0
5-11-2020,5826.0,7213.0
12-11-2020,8540.0,7710.0
19-11-2020,12131.0,10543.0
26-11-2020,11510.0,11323.0
3-12-2020,19161.0,16626.0
10-12-2020,16459.0,17662.0
17-12-2020,17235.0,18247.0
24-12-2020,19664.0,13038.0
31-12-2020,16105.0,17689.0
7-1-2021,18110.0,19667.0
14-1-2021,20890.0,23822.0
21-1-2021,20479.0,21049.0
28-1-2021,18664.0,16626.0
4-2-2021,19586.0,23575.0
11-2-2021,16737.0,15357.0
18-2-2021,17814.0,19003.0
25-2-2021,12190.0,13520.0
4-3-2021,10576.0,9192.0
11-3-2021,11972.0,11192.0
18-3-2021,14264.0,12282.0
25-3-2021,16603.0,15818.0
1-4-2021,19381.0,18599.0
8-4-2021,19293.0,20125.0
15-4-2021,21839.0,22160.0
22-4-2021,23057.0,13160.0
29-4-2021,21741.0,31233.0
6-5-2021,32557.0,12451.0
13-5-2021,32639.0,45060.0
20-5-2021,29974.0,32670.0
27-5-2021,22230.0,21306.0
3-6-2021,23503.0,15971.0
10-6-2021,19784.0,26947.0
17-6-2021,24874.0,24151.0
24-6-2021,21837.0,19871.0
1-7-2021,15253.0,23637.0
8-7-2021,14353.0,10928.0
15-7-2021,17771.0,15409.0
22-7-2021,16004.0,20698.0
29-7-2021,15317.0,8227.0
5-8-2021,20595.0,562.0
12-8-2021,27987.0,0.0
19-8-2021,25413.0,0.0
26-8-2021,21946.0,0.0
2-9-2021,12500.0,0.0
9-9-2021,25783.0,0.0
16-9-2021,3018.0,0.0
23-9-2021,114750.0,0.0
30-9-2021,9799.0,0.0
7-10-2021,9814.0,0.0
14-10-2021,8900.0,0.0
21-10-2021,6774.0,0.0
28-10-2021,8220.0,0.0
4-11-2021,4516.0,0.0
11-11-2021,6594.0,0.0
18-11-2021,4662.0,0.0
25-11-2021,5675.0,0.0
2-12-2021,4686.0,0.0
9-12-2021,3813.0,0.0
16-12-2021,184.0,0.0
23-12-2021,73.0,0.0
30-12-2021,2234.0,0.0
6-1-2022,16461.0,0.0
13-1-2022,53867.0,0.0
20-1-2022,128749.0,0.0
27-1-2022,145019.0,0.0
3-2-2022,123635.0,0.0
10-2-2022,74013.0,0.0
17-2-2022,52396.0,0.0
24-2-2022,36905.0,0.0
3-3-2022,18391.0,0.0
