Datas,New York County
2020/03/15,1
2020/03/16,39
2020/03/17,166
2020/03/18,313
2020/03/19,448
2020/03/20,276
2020/03/21,549
2020/03/22,209
2020/03/23,500
2020/03/24,315
2020/03/25,729
2020/03/26,430
2020/03/27,432
2020/03/28,759
2020/03/29,345
2020/03/30,478
2020/03/31,479
2020/04/01,483
2020/04/02,376
2020/04/03,1054
2020/04/04,848
2020/04/05,598
2020/04/06,542
2020/04/07,572
2020/04/08,492
2020/04/09,602
2020/04/10,616
2020/04/11,715
2020/04/12,708
2020/04/13,356
2020/04/14,379
2020/04/15,1737
2020/04/16,474
2020/04/17,399
2020/04/18,442
2020/04/19,288
2020/04/20,248
2020/04/21,231
2020/04/22,326
2020/04/23,323
2020/04/24,506
2020/04/25,426
2020/04/26,493
2020/04/27,324
2020/04/28,215
2020/04/29,292
2020/04/30,316
2020/05/01,255
2020/05/02,321
2020/05/03,245
2020/05/04,159
2020/05/05,154
2020/05/06,203
2020/05/07,272
2020/05/08,201
2020/05/09,151
2020/05/10,96
2020/05/11,85
2020/05/12,129
2020/05/13,157
2020/05/14,177
2020/05/15,307
2020/05/16,150
2020/05/17,148
2020/05/18,86
2020/05/19,77
2020/05/20,98
2020/05/21,131
2020/05/22,150
2020/05/23,134
2020/05/24,103
2020/05/25,100
2020/05/26,83
2020/05/27,121
2020/05/28,134
2020/05/29,133
2020/05/30,96
2020/05/31,77
2020/06/01,68
2020/06/02,93
2020/06/03,72
2020/06/04,82
2020/06/05,69
2020/06/06,85
2020/06/07,56
2020/06/08,39
2020/06/09,41
2020/06/10,66
2020/06/11,60
2020/06/12,68
2020/06/13,77
2020/06/14,44
2020/06/15,54
2020/06/16,50
2020/06/17,31
2020/06/18,52
2020/06/19,64
2020/06/20,67
2020/06/21,75
2020/06/22,51
2020/06/23,58
2020/06/24,57
2020/06/25,60
2020/06/26,58
2020/06/27,81
2020/06/28,49
2020/06/29,21
2020/06/30,46
2020/07/01,71
2020/07/02,78
2020/07/03,102
2020/07/04,62
2020/07/05,44
2020/07/06,66
2020/07/07,50
2020/07/08,
2020/07/09,109
2020/07/10,80
2020/07/11,56
2020/07/12,72
2020/07/13,65
2020/07/14,61
2020/07/15,79
2020/07/16,74
2020/07/17,74
2020/07/18,85
2020/07/19,56
2020/07/20,65
2020/07/21,71
2020/07/22,76
2020/07/23,90
2020/07/24,64
2020/07/25,64
2020/07/26,32
2020/07/27,57
2020/07/28,30
2020/07/29,49
2020/07/30,70
2020/07/31,59
2020/08/01,60
2020/08/02,46
2020/08/03,57
2020/08/04,56
2020/08/05,57
2020/08/06,65
2020/08/07,60
2020/08/08,62
2020/08/09,43
2020/08/10,52
2020/08/11,55
2020/08/12,76
2020/08/13,70
2020/08/14,62
2020/08/15,63
2020/08/16,56
2020/08/17,43
2020/08/18,64
2020/08/19,36
2020/08/20,62
2020/08/21,58
2020/08/22,47
2020/08/23,44
2020/08/24,44
2020/08/25,41
2020/08/26,48
2020/08/27,50
2020/08/28,42
2020/08/29,36
2020/08/30,62
2020/08/31,44
2020/09/01,46
2020/09/02,53
2020/09/03,33
2020/09/04,59
2020/09/05,62
2020/09/06,54
2020/09/07,16
2020/09/08,19
2020/09/09,39
2020/09/10,51
2020/09/11,52
2020/09/12,40
2020/09/13,34
2020/09/14,51
2020/09/15,44
2020/09/16,63
2020/09/17,57
2020/09/18,46
2020/09/19,73
2020/09/20,59
2020/09/21,35
2020/09/22,41
2020/09/23,41
2020/09/24,50
2020/09/25,50
2020/09/26,48
2020/09/27,36
2020/09/28,47
2020/09/29,79
2020/09/30,64
2020/10/01,65
2020/10/02,72
2020/10/03,93
2020/10/04,72
2020/10/05,72
2020/10/06,70
2020/10/07,46
2020/10/08,93
2020/10/09,73
2020/10/10,79
2020/10/11,46
2020/10/12,66
2020/10/13,93
2020/10/14,68
2020/10/15,68
2020/10/16,98
2020/10/17,136
2020/10/18,120
2020/10/19,63
2020/10/20,71
2020/10/21,124
2020/10/22,96
2020/10/23,114
2020/10/24,151
2020/10/25,113
2020/10/26,66
2020/10/27,108
2020/10/28,179
2020/10/29,148
2020/10/30,176
2020/10/31,122
2020/11/01,190
2020/11/02,102
2020/11/03,166
2020/11/04,120
2020/11/05,178
2020/11/06,152
2020/11/07,211
2020/11/08,299
2020/11/09,231
2020/11/10,213
2020/11/11,284
2020/11/12,338
2020/11/13,349
2020/11/14,345
2020/11/15,275
2020/11/16,251
2020/11/17,361
2020/11/18,321
2020/11/19,355
2020/11/20,357
2020/11/21,376
2020/11/22,358
2020/11/23,310
2020/11/24,317
2020/11/25,302
2020/11/26,464
2020/11/27,471
2020/11/28,384
2020/11/29,428
2020/11/30,412
2020/12/01,429
2020/12/02,457
2020/12/03,530
2020/12/04,593
2020/12/05,543
2020/12/06,527
2020/12/07,441
2020/12/08,410
2020/12/09,535
2020/12/10,512
2020/12/11,560
2020/12/12,685
2020/12/13,539
2020/12/14,522
2020/12/15,620
2020/12/16,527
2020/12/17,554
2020/12/18,732
2020/12/19,515
2020/12/20,486
2020/12/21,621
2020/12/22,593
2020/12/23,624
2020/12/24,641
2020/12/25,628
2020/12/26,581
2020/12/27,410
2020/12/28,389
2020/12/29,559
2020/12/30,589
2020/12/31,768
2021/01/01,736
2021/01/02,744
2021/01/03,416
2021/01/04,441
2021/01/05,645
2021/01/06,
2021/01/07,1732
2021/01/08,978
2021/01/09,854
2021/01/10,873
2021/01/11,825
2021/01/12,793
2021/01/13,754
2021/01/14,796
2021/01/15,1066
2021/01/16,997
2021/01/17,870
2021/01/18,671
2021/01/19,688
2021/01/20,722
2021/01/21,717
2021/01/22,932
2021/01/23,856
2021/01/24,814
2021/01/25,916
2021/01/26,850
2021/01/27,686
2021/01/28,923
2021/01/29,883
2021/01/30,903
2021/01/31,776
2021/02/01,632
2021/02/02,567
2021/02/03,381
2021/02/04,508
2021/02/05,688
2021/02/06,
2021/02/07,1698
2021/02/08,656
2021/02/09,555
2021/02/10,531
2021/02/11,689
2021/02/12,645
2021/02/13,764
2021/02/14,689
2021/02/15,516
2021/02/16,517
2021/02/17,422
2021/02/18,532
2021/02/19,785
2021/02/20,699
2021/02/21,540
2021/02/22,547
2021/02/23,519
2021/02/24,456
2021/02/25,711
2021/02/26,
2021/02/27,1416
2021/02/28,647
2021/03/01,566
2021/03/02,419
2021/03/03,644
2021/03/04,624
2021/03/05,805
2021/03/06,721
2021/03/07,544
2021/03/08,418
2021/03/09,562
2021/03/10,575
2021/03/11,563
2021/03/12,
2021/03/13,1330
2021/03/14,524
2021/03/15,458
2021/03/16,389
2021/03/17,834
2021/03/18,661
2021/03/19,690
2021/03/20,657
2021/03/21,672
2021/03/22,519
2021/03/23,451
2021/03/24,631
2021/03/25,595
2021/03/26,649
