Datas,Rio de Janeiro,óbitos,
2020/03/27,0.0,0.0,
2020/03/28,489.0,9.0,
2020/03/29,27.0,4.0,
2020/03/30,37.0,0.0,
2020/03/31,33.0,5.0,
2020/04/01,111.0,2.0,
2020/04/02,101.0,11.0,
2020/04/03,69.0,5.0,
2020/04/04,115.0,2.0,
2020/04/05,86.0,4.0,
2020/04/06,42.0,5.0,
2020/04/07,141.0,12.0,
2020/04/08,198.0,14.0,
2020/04/09,184.0,9.0,
2020/04/10,175.0,10.0,
2020/04/11,97.0,6.0,
2020/04/12,91.0,8.0,
2020/04/13,326.0,9.0,
2020/04/14,71.0,25.0,
2020/04/15,126.0,27.0,
2020/04/16,140.0,28.0,
2020/04/17,287.0,24.0,
2020/04/18,113.0,18.0,
2020/04/19,67.0,8.0,
2020/04/20,117.0,12.0,
2020/04/21,344.0,26.0,
2020/04/22,69.0,20.0,
2020/04/23,371.0,19.0,
2020/04/24,64.0,25.0,
2020/04/25,390.0,20.0,
2020/04/26,17.0,15.0,
2020/04/27,763.0,22.0,
2020/04/28,293.0,52.0,
2020/04/29,135.0,40.0,
2020/04/30,214.0,39.0,
2020/05/01,286.0,39.0,
2020/05/02,259.0,29.0,
2020/05/03,302.0,28.0,
2020/05/04,533.0,39.0,
2020/05/05,549.0,43.0,
2020/05/06,745.0,51.0,
2020/05/07,474.0,155.0,
2020/05/08,621.0,83.0,
2020/05/09,807.0,90.0,
2020/05/10,41.0,34.0,
2020/05/11,99.0,46.0,
2020/05/12,197.0,107.0,
2020/05/13,210.0,84.0,
2020/05/14,238.0,146.0,
2020/05/15,451.0,122.0,
2020/05/16,580.0,120.0,
2020/05/17,626.0,90.0,
2020/05/18,522.0,119.0,
2020/05/19,1088.0,175.0,
2020/05/20,2535.0,114.0,
2020/05/21,1677.0,127.0,
2020/05/22,1418.0,144.0,
2020/05/23,882.0,182.0,
2020/05/24,732.0,53.0,
2020/05/25,691.0,76.0,
2020/05/26,824.0,147.0,
2020/05/27,1460.0,157.0,
2020/05/28,1224.0,158.0,
2020/05/29,1337.0,137.0,
2020/05/30,1170.0,95.0,
2020/05/31,676.0,53.0,
2020/06/01,857.0,93.0,
2020/06/02,1190.0,157.0,
2020/06/03,1747.0,227.0,
2020/06/04,744.0,176.0,
2020/06/05,1348.0,78.0,
2020/06/06,660.0,92.0,
2020/06/07,412.0,61.0,
2020/06/08,778.0,54.0,
2020/06/09,1010.0,83.0,
2020/06/10,1057.0,117.0,
2020/06/11,1057.0,134.0,
2020/06/12,487.0,27.0,
2020/06/13,907.0,116.0,
2020/06/14,357.0,50.0,
2020/06/15,617.0,47.0,
2020/06/16,1489.0,149.0,
2020/06/17,2104.0,104.0,
2020/06/18,277.0,165.0,
2020/06/19,2498.0,124.0,
2020/06/20,1376.0,159.0,
2020/06/21,301.0,41.0,
2020/06/22,492.0,43.0,
2020/06/23,1403.0,125.0,
2020/06/24,982.0,87.0,
2020/06/25,862.0,74.0,
2020/06/26,983.0,103.0,
2020/06/27,134.0,102.0,
2020/06/28,774.0,27.0,
2020/06/29,291.0,24.0,
2020/06/30,585.0,133.0,
2020/07/01,943.0,68.0,
2020/07/02,736.0,71.0,
2020/07/03,833.0,102.0,
2020/07/04,585.0,78.0,
2020/07/05,200.0,29.0,
2020/07/06,363.0,26.0,
2020/07/07,1062.0,131.0,
2020/07/08,805.0,46.0,
2020/07/09,933.0,77.0,
2020/07/10,631.0,76.0,
2020/07/11,75.0,48.0,
2020/07/12,8.0,8.0,
2020/07/13,525.0,45.0,
2020/07/14,486.0,77.0,
2020/07/15,368.0,68.0,
2020/07/16,82.0,50.0,
2020/07/17,125.0,71.0,
2020/07/18,0.0,0.0,
2020/07/19,1213.0,82.0,
2020/07/20,127.0,30.0,
2020/07/21,85.0,63.0,
2020/07/22,1213.0,91.0,
2020/07/23,176.0,26.0,
2020/07/24,946.0,28.0,
2020/07/25,90.0,63.0,
