Evolução,Diário,,Acumulados,
01/01,1,1,1,1
03/01,1,1,2,2
04/01,1,1,3,3
26/01,1,1,4,4
10/02,1,1,5,5
15/02,1,1,6,6
20/02,1,1,7,7
26/02,1,1,8,8
03/03,1,1,9,9
05/03,3,3,12,12
07/03,2,2,14,14
11/03,3,3,17,17
12/03,1,1,18,18
13/03,1,1,19,19
14/03,1,1,20,20
15/03,4,4,24,24
16/03,3,3,27,27
17/03,4,4,31,31
18/03,2,2,33,33
19/03,7,7,40,40
20/03,5,5,45,45
21/03,3,3,48,48
22/03,2,2,50,50
23/03,9,9,59,59
24/03,5,5,64,64
25/03,11,11,75,75
26/03,13,13,88,88
27/03,18,18,106,106
28/03,13,13,119,119
29/03,7,7,126,126
30/03,17,17,143,143
31/03,29,29,172,172
01/04,30,30,202,202
02/04,16,16,218,218
03/04,32,32,250,250
04/04,20,20,270,270
05/04,12,12,282,282
06/04,34,34,316,316
07/04,31,31,347,347
08/04,24,24,371,371
09/04,15,15,386,386
10/04,19,19,405,405
11/04,25,25,430,430
12/04,27,27,457,457
13/04,21,21,478,478
14/04,31,31,509,509
15/04,47,47,556,556
16/04,43,43,599,599
17/04,51,51,650,650
18/04,25,25,675,675
19/04,22,22,697,697
20/04,35,35,732,732
21/04,23,23,755,755
22/04,70,70,825,825
23/04,51,51,876,876
24/04,51,51,927,927
25/04,28,28,955,955
26/04,44,44,999,999
27/04,81,81,1.080,1.080
28/04,63,63,1.143,1.143
29/04,72,72,1.215,1.215
30/04,106,106,1.321,1.321
01/05,57,57,1.378,1.378
02/05,40,40,1.418,1.418
03/05,47,47,1.465,1.465
04/05,115,115,1.580,1.580
05/05,114,114,1.694,1.694
06/05,95,95,1.789,1.789
07/05,98,98,1.887,1.887
08/05,106,106,1.993,1.993
09/05,67,67,2.060,2.060
10/05,36,36,2.096,2.096
11/05,97,97,2.193,2.193
12/05,146,146,2.339,2.339
13/05,158,158,2.497,2.497
14/05,207,207,2.704,2.704
15/05,138,138,2.842,2.842
16/05,92,92,2.934,2.934
17/05,64,64,2.998,2.998
18/05,178,178,3.176,3.176
19/05,206,206,3.382,3.382
20/05,180,180,3.562,3.562
21/05,183,183,3.745,3.745
22/05,230,230,3.975,3.975
23/05,105,105,4.080,4.080
24/05,106,106,4.186,4.186
25/05,154,154,4.340,4.340
26/05,212,212,4.552,4.552
27/05,245,245,4.797,4.797
28/05,229,229,5.026,5.026
29/05,240,240,5.266,5.266
30/05,225,225,5.491,5.491
31/05,194,194,5.685,5.685
01/06,336,336,6.021,6.021
02/06,260,260,6.281,6.281
03/06,312,312,6.593,6.593
04/06,277,277,6.870,6.870
05/06,224,224,7.094,7.094
06/06,112,112,7.206,7.206
07/06,74,74,7.280,7.280
08/06,284,284,7.564,7.564
09/06,243,243,7.807,7.807
10/06,292,292,8.099,8.099
11/06,130,130,8.229,8.229
