Evolução,Diário
01/01/2020,1.0
03/01/2020,1.0
04/01/2020,1.0
26/01/2020,1.0
10/02/2020,1.0
15/02/2020,1.0
20/02/2020,1.0
26/02/2020,1.0
03/03/2020,1.0
05/03/2020,3.0
07/03/2020,2.0
11/03/2020,3.0
12/03/2020,1.0
13/03/2020,1.0
14/03/2020,1.0
15/03/2020,4.0
16/03/2020,3.0
17/03/2020,4.0
18/03/2020,2.0
19/03/2020,7.0
20/03/2020,5.0
21/03/2020,3.0
22/03/2020,2.0
23/03/2020,9.0
24/03/2020,5.0
25/03/2020,11.0
26/03/2020,13.0
27/03/2020,18.0
28/03/2020,13.0
29/03/2020,7.0
30/03/2020,17.0
31/03/2020,29.0
01/04/2020,30.0
02/04/2020,16.0
03/04/2020,32.0
04/04/2020,20.0
05/04/2020,12.0
06/04/2020,34.0
07/04/2020,31.0
08/04/2020,24.0
09/04/2020,15.0
10/04/2020,19.0
11/04/2020,25.0
12/04/2020,27.0
13/04/2020,21.0
14/04/2020,31.0
15/04/2020,47.0
16/04/2020,43.0
17/04/2020,51.0
18/04/2020,25.0
19/04/2020,22.0
20/04/2020,35.0
21/04/2020,23.0
22/04/2020,70.0
23/04/2020,51.0
24/04/2020,51.0
25/04/2020,28.0
26/04/2020,44.0
27/04/2020,81.0
28/04/2020,63.0
29/04/2020,72.0
30/04/2020,106.0
01/05/2020,57.0
02/05/2020,40.0
03/05/2020,47.0
04/05/2020,115.0
05/05/2020,114.0
06/05/2020,95.0
07/05/2020,98.0
08/05/2020,106.0
09/05/2020,67.0
10/05/2020,36.0
11/05/2020,97.0
12/05/2020,146.0
13/05/2020,158.0
14/05/2020,207.0
15/05/2020,138.0
16/05/2020,92.0
17/05/2020,64.0
18/05/2020,178.0
19/05/2020,206.0
20/05/2020,180.0
21/05/2020,183.0
22/05/2020,230.0
23/05/2020,105.0
24/05/2020,106.0
25/05/2020,154.0
26/05/2020,212.0
27/05/2020,245.0
28/05/2020,229.0
29/05/2020,240.0
30/05/2020,225.0
31/05/2020,194.0
01/06/2020,336.0
02/06/2020,260.0
03/06/2020,312.0
04/06/2020,277.0
05/06/2020,224.0
06/06/2020,112.0
07/06/2020,74.0
08/06/2020,284.0
09/06/2020,243.0
10/06/2020,292.0
11/06/2020,130.0
12/06/2020,172.0
13/06/2020,139.0
14/06/2020,73.0
15/06/2020,252.0
16/06/2020,219.0
17/06/2020,207.0
18/06/2020,211.0
19/06/2020,213.0
20/06/2020,181.0
21/06/2020,202.0
22/06/2020,163.0
23/06/2020,179.0
24/06/2020,190.0
25/06/2020,92.0
26/06/2020,199.0
27/06/2020,575.0
28/06/2020,1.154
29/06/2020,222.0
30/06/2020,108.0
01/07/2020,165.0
02/07/2020,127.0
03/07/2020,221.0
04/07/2020,469.0
05/07/2020,492.0
06/07/2020,164.0
07/07/2020,120.0
08/07/2020,126.0
09/07/2020,185.0
10/07/2020,130.0
11/07/2020,48.0
12/07/2020,42.0
13/07/2020,164.0
14/07/2020,84.0
15/07/2020,141.0
16/07/2020,165.0
17/07/2020,114.0
18/07/2020,48.0
19/07/2020,89.0
20/07/2020,122.0
21/07/2020,175.0
22/07/2020,161.0
23/07/2020,103.0
24/07/2020,95.0
25/07/2020,41.0
26/07/2020,16.0
27/07/2020,74.0
28/07/2020,87.0
29/07/2020,144.0
30/07/2020,78.0
31/07/2020,110.0
01/08/2020,35.0
02/08/2020,23.0
03/08/2020,105.0
04/08/2020,154.0
05/08/2020,75.0
06/08/2020,90.0
07/08/2020,161.0
08/08/2020,50.0
09/08/2020,18.0
10/08/2020,74.0
11/08/2020,92.0
12/08/2020,67.0
13/08/2020,93.0
14/08/2020,69.0
15/08/2020,33.0
16/08/2020,24.0
17/08/2020,82.0
18/08/2020,55.0
19/08/2020,49.0
20/08/2020,51.0
21/08/2020,54.0
22/08/2020,20.0
23/08/2020,14.0
24/08/2020,67.0
25/08/2020,50.0
26/08/2020,69.0
27/08/2020,48.0
28/08/2020,42.0
29/08/2020,32.0
30/08/2020,16.0
31/08/2020,63.0
01/09/2020,47.0
02/09/2020,49.0
03/09/2020,60.0
04/09/2020,49.0
05/09/2020,19.0
06/09/2020,24.0
07/09/2020,23.0
08/09/2020,48.0
09/09/2020,67.0
10/09/2020,72.0
11/09/2020,58.0
12/09/2020,29.0
13/09/2020,36.0
14/09/2020,54.0
15/09/2020,76.0
16/09/2020,46.0
17/09/2020,61.0
18/09/2020,68.0
19/09/2020,43.0
20/09/2020,18.0
21/09/2020,45.0
22/09/2020,31.0
23/09/2020,73.0
24/09/2020,59.0
25/09/2020,81.0
26/09/2020,47.0
27/09/2020,27.0
28/09/2020,68.0
29/09/2020,57.0
30/09/2020,73.0
01/10/2020,79.0
02/10/2020,87.0
03/10/2020,63.0
04/10/2020,52.0
05/10/2020,86.0
06/10/2020,103.0
07/10/2020,106.0
08/10/2020,104.0
09/10/2020,119.0
10/10/2020,73.0
11/10/2020,12.0
12/10/2020,32.0
13/10/2020,144.0
14/10/2020,56.0
15/10/2020,73.0
16/10/2020,172.0
17/10/2020,36.0
18/10/2020,23.0
19/10/2020,272.0
20/10/2020,160.0
21/10/2020,125.0
22/10/2020,155.0
23/10/2020,92.0
24/10/2020,83.0
25/10/2020,49.0
26/10/2020,174.0
27/10/2020,156.0
28/10/2020,172.0
29/10/2020,201.0
30/10/2020,114.0
31/10/2020,79.0
01/11/2020,72.0
02/11/2020,134.0
03/11/2020,190.0
04/11/2020,143.0
05/11/2020,191.0
06/11/2020,265.0
07/11/2020,144.0
08/11/2020,91.0
09/11/2020,246.0
10/11/2020,221.0
11/11/2020,236.0
12/11/2020,192.0
13/11/2020,203.0
14/11/2020,148.0
15/11/2020,111.0
16/11/2020,236.0
17/11/2020,235.0
18/11/2020,202.0
19/11/2020,159.0
20/11/2020,146.0
21/11/2020,155.0
22/11/2020,137.0
23/11/2020,247.0
24/11/2020,263.0
25/11/2020,263.0
26/11/2020,178.0
27/11/2020,191.0
28/11/2020,87.0
29/11/2020,153.0
30/11/2020,223.0
01/12/2020,174.0
02/12/2020,169.0
03/12/2020,134.0
04/12/2020,95.0
05/12/2020,91.0
06/12/2020,75.0
07/12/2020,141.0
08/12/2020,153.0
09/12/2020,142.0
10/12/2020,145.0
11/12/2020,147.0
12/12/2020,96.0
13/12/2020,84.0
14/12/2020,129.0
15/12/2020,109.0
16/12/2020,131.0
17/12/2020,105.0
18/12/2020,106.0
19/12/2020,55.0
20/12/2020,56.0
21/12/2020,117.0
22/12/2020,96.0
23/12/2020,91.0
24/12/2020,52.0
25/12/2020,42.0
26/12/2020,82.0
27/12/2020,76.0
28/12/2020,167.0
29/12/2020,98.0
30/12/2020,88.0
31/12/2020,52.0
01/01/2021,45.0
02/01/2021,73.0
03/01/2021,58.0
04/01/2021,193.0
05/01/2021,154.0
06/01/2021,128.0
07/01/2021,116.0
08/01/2021,132.0
09/01/2021,96.0
10/01/2021,74.0
11/01/2021,149.0
12/01/2021,133.0
13/01/2021,110.0
14/01/2021,121.0
15/01/2021,137.0
16/01/2021,128.0
17/01/2021,86.0
18/01/2021,84.0
19/01/2021,94.0
20/01/2021,54.0
21/01/2021,90.0
22/01/2021,39.0
23/01/2021,109.0
24/01/2021,57.0
25/01/2021,104.0
26/01/2021,67.0
27/01/2021,82.0
28/01/2021,133.0
29/01/2021,99.0
30/01/2021,96.0
31/01/2021,76.0
01/02/2021,61.0
02/02/2021,55.0
03/02/2021,78.0
04/02/2021,80.0
05/02/2021,79.0
06/02/2021,132.0
07/02/2021,109.0
08/02/2021,61.0
09/02/2021,96.0
10/02/2021,73.0
11/02/2021,41.0
12/02/2021,94.0
13/02/2021,45.0
14/02/2021,46.0
15/02/2021,72.0
16/02/2021,114.0
17/02/2021,126.0
18/02/2021,89.0
19/02/2021,83.0
20/02/2021,35.0
21/02/2021,45.0
22/02/2021,50.0
23/02/2021,84.0
24/02/2021,104.0
25/02/2021,76.0
26/02/2021,85.0
27/02/2021,43.0
28/02/2021,35.0
01/03/2021,102.0
02/03/2021,87.0
03/03/2021,74.0
04/03/2021,144.0
05/03/2021,136.0
06/03/2021,104.0
07/03/2021,84.0
08/03/2021,142.0
09/03/2021,103.0
10/03/2021,117.0
11/03/2021,133.0
12/03/2021,126.0
13/03/2021,92.0
14/03/2021,68.0
15/03/2021,125.0
16/03/2021,109.0
17/03/2021,187.0
18/03/2021,112.0
19/03/2021,153.0
20/03/2021,155.0
21/03/2021,93.0
22/03/2021,120.0
23/03/2021,144.0
24/03/2021,139.0
25/03/2021,120.0
26/03/2021,148.0
27/03/2021,124.0
28/03/2021,117.0
29/03/2021,174.0
30/03/2021,179.0
31/03/2021,175.0
01/04/2021,146.0
02/04/2021,154.0
03/04/2021,188.0
04/04/2021,73.0
05/04/2021,137.0
06/04/2021,115.0
07/04/2021,152.0
08/04/2021,127.0
09/04/2021,134.0
10/04/2021,152.0
11/04/2021,90.0
12/04/2021,168.0
13/04/2021,165.0
14/04/2021,165.0
15/04/2021,135.0
16/04/2021,173.0
17/04/2021,152.0
18/04/2021,83.0
19/04/2021,110.0
20/04/2021,102.0
21/04/2021,75.0
22/04/2021,95.0
23/04/2021,101.0
24/04/2021,88.0
25/04/2021,57.0
26/04/2021,108.0
27/04/2021,72.0
28/04/2021,99.0
29/04/2021,69.0
30/04/2021,87.0
01/05/2021,63.0
02/05/2021,91.0
03/05/2021,111.0
04/05/2021,95.0
05/05/2021,105.0
06/05/2021,100.0
07/05/2021,125.0
08/05/2021,71.0
09/05/2021,81.0
10/05/2021,111.0
11/05/2021,141.0
12/05/2021,124.0
13/05/2021,110.0
14/05/2021,86.0
15/05/2021,102.0
16/05/2021,85.0
17/05/2021,150.0
18/05/2021,153.0
19/05/2021,163.0
20/05/2021,201.0
21/05/2021,152.0
22/05/2021,97.0
23/05/2021,95.0
24/05/2021,118.0
25/05/2021,151.0
26/05/2021,160.0
27/05/2021,141.0
28/05/2021,133.0
29/05/2021,112.0
30/05/2021,68.0
31/05/2021,151.0
01/06/2021,140.0
02/06/2021,136.0
03/06/2021,99.0
04/06/2021,128.0
05/06/2021,121.0
06/06/2021,81.0
07/06/2021,128.0
08/06/2021,113.0
09/06/2021,129.0
10/06/2021,138.0
11/06/2021,120.0
12/06/2021,76.0
13/06/2021,65.0
14/06/2021,117.0
15/06/2021,106.0
16/06/2021,98.0
17/06/2021,87.0
18/06/2021,74.0
19/06/2021,49.0
20/06/2021,90.0
21/06/2021,90.0
22/06/2021,92.0
23/06/2021,80.0
24/06/2021,76.0
25/06/2021,68.0
26/06/2021,65.0
27/06/2021,72.0
28/06/2021,96.0
29/06/2021,55.0
30/06/2021,56.0
01/07/2021,72.0
02/07/2021,68.0
03/07/2021,40.0
04/07/2021,34.0
05/07/2021,75.0
06/07/2021,69.0
07/07/2021,52.0
08/07/2021,44.0
09/07/2021,44.0
10/07/2021,64.0
11/07/2021,31.0
12/07/2021,56.0
13/07/2021,60.0
14/07/2021,48.0
15/07/2021,38.0
16/07/2021,47.0
17/07/2021,35.0
18/07/2021,41.0
19/07/2021,39.0
20/07/2021,69.0
21/07/2021,51.0
22/07/2021,59.0
23/07/2021,63.0
24/07/2021,25.0
25/07/2021,26.0
26/07/2021,51.0
27/07/2021,47.0
28/07/2021,37.0
29/07/2021,30.0
30/07/2021,36.0
31/07/2021,26.0
01/08/2021,13.0
02/08/2021,34.0
03/08/2021,34.0
04/08/2021,63.0
05/08/2021,35.0
06/08/2021,37.0
07/08/2021,32.0
08/08/2021,23.0
09/08/2021,50.0
10/08/2021,41.0
11/08/2021,38.0
12/08/2021,45.0
13/08/2021,19.0
14/08/2021,12.0
15/08/2021,20.0
16/08/2021,45.0
17/08/2021,54.0
18/08/2021,35.0
19/08/2021,42.0
20/08/2021,43.0
21/08/2021,24.0
22/08/2021,7.0
23/08/2021,34.0
24/08/2021,38.0
25/08/2021,42.0
26/08/2021,28.0
27/08/2021,32.0
28/08/2021,14.0
29/08/2021,14.0
30/08/2021,39.0
31/08/2021,21.0
01/09/2021,36.0
02/09/2021,24.0
03/09/2021,15.0
04/09/2021,12.0
05/09/2021,12.0
06/09/2021,12.0
07/09/2021,8.0
08/09/2021,8.0
09/09/2021,14.0
10/09/2021,27.0
11/09/2021,6.0
12/09/2021,10.0
13/09/2021,23.0
14/09/2021,14.0
15/09/2021,17.0
16/09/2021,34.0
17/09/2021,29.0
18/09/2021,5.0
19/09/2021,8.0
20/09/2021,28.0
21/09/2021,44.0
22/09/2021,25.0
23/09/2021,31.0
24/09/2021,28.0
25/09/2021,8.0
26/09/2021,9.0
27/09/2021,23.0
28/09/2021,21.0
29/09/2021,25.0
30/09/2021,35.0
01/10/2021,22.0
02/10/2021,13.0
03/10/2021,14.0
04/10/2021,39.0
05/10/2021,39.0
06/10/2021,29.0
07/10/2021,26.0
08/10/2021,41.0
09/10/2021,11.0
10/10/2021,6.0
11/10/2021,15.0
12/10/2021,11.0
13/10/2021,42.0
14/10/2021,32.0
15/10/2021,23.0
16/10/2021,26.0
17/10/2021,18.0
18/10/2021,30.0
19/10/2021,37.0
20/10/2021,26.0
21/10/2021,37.0
22/10/2021,26.0
23/10/2021,9.0
24/10/2021,12.0
25/10/2021,40.0
26/10/2021,35.0
27/10/2021,35.0
28/10/2021,33.0
29/10/2021,30.0
30/10/2021,34.0
31/10/2021,14.0
01/11/2021,20.0
02/11/2021,14.0
03/11/2021,42.0
