,Datas,Berlim
0,2020/03/16,332.0
1,2020/03/17,51.0
2,2020/03/18,136.0
3,2020/03/19,169.0
4,2020/03/20,180.0
5,2020/03/21,157.0
6,2020/03/22,46.0
7,2020/03/23,148.0
8,2020/03/24,206.0
9,2020/03/25,220.0
10,2020/03/26,292.0
11,2020/03/27,215.0
12,2020/03/28,185.0
13,2020/03/29,125.0
14,2020/03/30,119.0
15,2020/03/31,196.0
16,2020/04/01,216.0
17,2020/04/02,230.0
18,2020/04/03,263.0
19,2020/04/04,140.0
20,2020/04/05,61.0
21,2020/04/06,175.0
22,2020/04/07,176.0
23,2020/04/08,174.0
24,2020/04/09,145.0
25,2020/04/10,89.0
26,2020/04/11,107.0
27,2020/04/12,30.0
28,2020/04/13,84.0
29,2020/04/14,62.0
30,2020/04/15,141.0
31,2020/04/16,101.0
32,2020/04/17,120.0
33,2020/04/18,96.0
34,2020/04/19,38.0
35,2020/04/20,40.0
36,2020/04/21,76.0
37,2020/04/22,14.0
38,2020/04/23,121.0
39,2020/04/24,56.0
40,2020/04/25,75.0
41,2020/04/26,37.0
42,2020/04/27,33.0
43,2020/04/28,61.0
44,2020/04/29,83.0
45,2020/04/30,60.0
46,2020/05/01,55.0
47,2020/05/02,34.0
48,2020/05/03,34.0
49,2020/05/04,32.0
50,2020/05/05,50.0
51,2020/05/06,57.0
52,2020/05/07,60.0
53,2020/05/08,33.0
54,2020/05/09,20.0
55,2020/05/10,11.0
56,2020/05/11,2.0
57,2020/05/12,25.0
58,2020/05/13,44.0
59,2020/05/14,55.0
60,2020/05/15,31.0
61,2020/05/16,19.0
62,2020/05/17,11.0
63,2020/05/18,20.0
64,2020/05/19,29.0
65,2020/05/20,49.0
66,2020/05/21,30.0
67,2020/05/22,29.0
68,2020/05/23,25.0
69,2020/05/24,5.0
70,2020/05/25,10.0
71,2020/05/26,21.0
72,2020/05/27,30.0
73,2020/05/28,35.0
74,2020/05/29,29.0
75,2020/05/30,33.0
76,2020/05/31,16.0
77,2020/06/01,23.0
78,2020/06/02,35.0
79,2020/06/03,27.0
80,2020/06/04,45.0
81,2020/06/05,18.0
82,2020/06/06,33.0
83,2020/06/07,19.0
84,2020/06/08,26.0
85,2020/06/09,40.0
86,2020/06/10,54.0
87,2020/06/11,29.0
88,2020/06/12,87.0
89,2020/06/13,30.0
90,2020/06/14,40.0
91,2020/06/15,47.0
92,2020/06/16,33.0
93,2020/06/17,73.0
94,2020/06/18,128.0
95,2020/06/19,130.0
96,2020/06/20,71.0
97,2020/06/21,29.0
98,2020/06/22,83.0
99,2020/06/23,59.0
100,2020/06/24,46.0
101,2020/06/25,75.0
102,2020/06/26,49.0
103,2020/06/27,23.0
104,2020/06/28,8.0
105,2020/06/29,44.0
106,2020/06/30,23.0
107,2020/07/01,59.0
108,2020/07/02,43.0
109,2020/07/03,48.0
110,2020/07/04,41.0
111,2020/07/05,17.0
112,2020/07/06,11.0
113,2020/07/07,40.0
114,2020/07/08,35.0
115,2020/07/09,49.0
116,2020/07/10,31.0
117,2020/07/11,20.0
118,2020/07/12,1.0
119,2020/07/13,18.0
120,2020/07/14,18.0
121,2020/07/15,25.0
122,2020/07/16,26.0
123,2020/07/17,23.0
124,2020/07/18,26.0
125,2020/07/19,5.0
126,2020/07/20,23.0
127,2020/07/21,35.0
128,2020/07/22,23.0
129,2020/07/23,34.0
130,2020/07/24,63.0
131,2020/07/25,34.0
132,2020/07/26,10.0
133,2020/07/27,19.0
134,2020/07/28,51.0
135,2020/07/29,79.0
136,2020/07/30,42.0
137,2020/07/31,82.0
138,2020/08/01,45.0
139,2020/08/02,9.0
140,2020/08/03,39.0
141,2020/08/04,32.0
142,2020/08/05,91.0
143,2020/08/06,53.0
144,2020/08/07,97.0
145,2020/08/08,48.0
146,2020/08/09,10.0
147,2020/08/10,42.0
148,2020/08/11,111.0
149,2020/08/12,125.0
150,2020/08/13,131.0
151,2020/08/14,89.0
152,2020/08/15,42.0
153,2020/08/16,15.0
154,2020/08/17,66.0
155,2020/08/18,75.0
156,2020/08/19,69.0
157,2020/08/20,80.0
158,2020/08/21,112.0
159,2020/08/22,62.0
160,2020/08/23,11.0
161,2020/08/24,58.0
162,2020/08/25,66.0
163,2020/08/26,82.0
164,2020/08/27,77.0
165,2020/08/28,114.0
166,2020/08/29,58.0
167,2020/08/30,6.0
168,2020/08/31,77.0
169,2020/09/01,81.0
170,2020/09/02,84.0
171,2020/09/03,98.0
172,2020/09/04,94.0
173,2020/09/05,80.0
174,2020/09/06,24.0
175,2020/09/07,65.0
176,2020/09/08,87.0
177,2020/09/09,72.0
178,2020/09/10,139.0
179,2020/09/11,126.0
180,2020/09/12,38.0
181,2020/09/13,15.0
182,2020/09/14,85.0
183,2020/09/15,109.0
