Datas,Buenos Aires
2020/01/06,0
2020/01/07,0
2020/01/10,0
2020/01/12,0
2020/01/27,0
2020/01/30,0
2020/02/05,0
2020/02/06,0
2020/02/14,0
2020/02/21,0
2020/02/25,0
2020/02/27,1
2020/02/28,0
2020/03/02,1
2020/03/03,1
2020/03/04,1
2020/03/06,0
2020/03/08,0
2020/03/09,1
2020/03/10,0
2020/03/11,0
2020/03/12,0
2020/03/13,0
2020/03/14,0
2020/03/15,0
2020/03/16,0
2020/03/17,1
2020/03/18,2
2020/03/19,0
2020/03/20,1
2020/03/21,1
2020/03/22,1
2020/03/23,1
2020/03/24,4
2020/03/25,5
2020/03/26,7
2020/03/27,3
2020/03/28,3
2020/03/29,0
2020/03/30,2
2020/03/31,6
2020/04/01,7
2020/04/02,2
2020/04/03,4
2020/04/04,2
2020/04/05,0
2020/04/06,3
2020/04/07,0
2020/04/08,4
2020/04/09,3
2020/04/10,6
2020/04/11,7
2020/04/12,7
2020/04/13,4
2020/04/14,3
2020/04/15,7
2020/04/16,3
2020/04/17,6
2020/04/18,4
2020/04/19,2
2020/04/20,6
2020/04/21,6
2020/04/22,6
2020/04/23,12
2020/04/24,11
2020/04/25,6
2020/04/26,6
2020/04/27,7
2020/04/28,9
2020/04/29,15
2020/04/30,4
2020/05/01,5
2020/05/02,6
2020/05/03,7
2020/05/04,7
2020/05/05,16
2020/05/06,10
2020/05/07,20
2020/05/08,8
2020/05/09,7
2020/05/10,7
2020/05/11,9
2020/05/12,13
2020/05/13,18
2020/05/14,14
2020/05/15,18
2020/05/16,29
2020/05/17,13
2020/05/18,15
2020/05/19,16
2020/05/20,48
2020/05/21,51
2020/05/22,45
2020/05/23,33
2020/05/24,33
2020/05/25,21
2020/05/26,30
2020/05/27,44
2020/05/28,43
2020/05/29,54
2020/05/30,38
2020/05/31,45
2020/06/01,59
2020/06/02,73
2020/06/03,81
2020/06/04,81
2020/06/05,82
2020/06/06,94
2020/06/07,73
2020/06/08,94
2020/06/09,132
2020/06/10,125
2020/06/11,144
2020/06/12,189
2020/06/13,162
2020/06/14,132
2020/06/15,140
2020/06/16,201
2020/06/17,212
2020/06/18,247
2020/06/19,300
2020/06/20,250
2020/06/21,170
2020/06/22,251
2020/06/23,330
2020/06/24,347
2020/06/25,365
2020/06/26,405
2020/06/27,288
2020/06/28,235
2020/06/29,376
2020/06/30,392
2020/07/01,452
2020/07/02,407
2020/07/03,477
2020/07/04,428
2020/07/05,308
2020/07/06,439
2020/07/07,493
2020/07/08,538
2020/07/09,421
2020/07/10,403
2020/07/11,384
2020/07/12,321
2020/07/13,544
2020/07/14,557
2020/07/15,565
2020/07/16,597
2020/07/17,722
2020/07/18,562
2020/07/19,485
2020/07/20,736
2020/07/21,773
2020/07/22,798
2020/07/23,769
2020/07/24,831
2020/07/25,636
2020/07/26,656
2020/07/27,736
2020/07/28,777
2020/07/29,849
2020/07/30,913
2020/07/31,928
2020/08/01,731
2020/08/02,694
2020/08/03,928
2020/08/04,1053
2020/08/05,1169
2020/08/06,1043
2020/08/07,999
2020/08/08,868
2020/08/09,879
2020/08/10,951
2020/08/11,986
2020/08/12,1097
2020/08/13,1016
2020/08/14,959
2020/08/15,850
2020/08/16,620
2020/08/17,686
2020/08/18,867
2020/08/19,1132
2020/08/20,1041
2020/08/21,929
2020/08/22,969
2020/08/23,604
2020/08/24,1051
2020/08/25,1087
2020/08/26,1360
2020/08/27,1323
2020/08/28,1356
2020/08/29,1058
2020/08/30,750
2020/08/31,1029
2020/09/01,1096
2020/09/02,1058
2020/09/03,1153
2020/09/04,973
2020/09/05,1050
2020/09/06,725
2020/09/07,999
2020/09/08,1114
2020/09/09,1158
2020/09/10,1077
2020/09/11,1106
2020/09/12,856
2020/09/13,629
2020/09/14,831
2020/09/15,970
2020/09/16,976
2020/09/17,1042
2020/09/18,876
2020/09/19,680
2020/09/20,431
2020/09/21,629
2020/09/22,697
2020/09/23,935
2020/09/24,872
2020/09/25,874
2020/09/26,728
2020/09/27,478
2020/09/28,737
2020/09/29,877
2020/09/30,823
2020/10/01,852
2020/10/02,858
2020/10/03,583
2020/10/04,398
2020/10/05,681
2020/10/06,698
2020/10/07,798
2020/10/08,692
2020/10/09,758
2020/10/10,590
2020/10/11,409
