Datas,Confirmados diários,Recuperdos+Mortes diárias
21-5-2020,1500.0,245.0
22-5-2020,944.0,248.0
23-5-2020,3379.0,88.0
24-5-2020,1386.0,112.0
25-5-2020,726.0,256.0
26-5-2020,2374.0,244.0
27-5-2020,2488.0,251.0
28-5-2020,3067.0,223.0
29-5-2020,4467.0,198.0
30-5-2020,968.0,67.0
31-5-2020,1142.0,118.0
1-6-2020,2202.0,224.0
2-6-2020,2508.0,324.0
3-6-2020,1692.0,317.0
4-6-2020,2134.0,146.0
5-6-2020,1467.0,166.0
6-6-2020,3223.0,68.0
7-6-2020,1743.0,53519.0
8-6-2020,3480.0,3254.0
9-6-2020,1394.0,1591.0
10-6-2020,1402.0,2297.0
11-6-2020,2009.0,1739.0
12-6-2020,1052.0,860.0
13-6-2020,736.0,1522.0
14-6-2020,1374.0,1302.0
15-6-2020,2397.0,239.0
16-6-2020,3620.0,4667.0
17-6-2020,354.0,1122.0
18-6-2020,6061.0,183.0
19-6-2020,2159.0,5721.0
20-6-2020,596.0,973.0
21-6-2020,1439.0,1553.0
22-6-2020,3297.0,220.0
23-6-2020,2624.0,5626.0
24-6-2020,2404.0,2045.0
25-6-2020,2600.0,2297.0
26-6-2020,306.0,1136.0
27-6-2020,2495.0,2352.0
28-6-2020,585.0,1084.0
29-6-2020,728.0,1494.0
30-6-2020,2667.0,1723.0
1-7-2020,1545.0,134.0
2-7-2020,2133.0,3680.0
3-7-2020,1484.0,124.0
4-7-2020,852.0,-778.0
5-7-2020,587.0,3866.0
6-7-2020,2207.0,183.0
7-7-2020,2243.0,3766.0
8-7-2020,1995.0,145.0
9-7-2020,1119.0,3085.0
10-7-2020,232.0,1036.0
11-7-2020,9.0,1009.0
12-7-2020,2360.0,1187.0
13-7-2020,778.0,1316.0
14-7-2020,1627.0,2129.0
15-7-2020,124.0,92.0
16-7-2020,657.0,920.0
17-7-2020,0.0,0.0
18-7-2020,3294.0,195.0
19-7-2020,2481.0,3144.0
20-7-2020,4116.0,6520.0
21-7-2020,3502.0,150.0
22-7-2020,2926.0,2409.0
23-7-2020,3330.0,3012.0
24-7-2020,1414.0,4089.0
25-7-2020,32.0,615.0
26-7-2020,1509.0,1174.0
27-7-2020,1805.0,1546.0
28-7-2020,2008.0,1722.0
29-7-2020,1995.0,1619.0
30-7-2020,1853.0,1575.0
31-7-2020,1718.0,1988.0
1-8-2020,12.0,516.0
2-8-2020,839.0,1060.0
3-8-2020,847.0,6237.0
4-8-2020,3768.0,3130.0
5-8-2020,1385.0,1432.0
6-8-2020,1632.0,1560.0
7-8-2020,2828.0,2629.0
8-8-2020,326.0,10.0
9-8-2020,1166.0,1985.0
10-8-2020,2547.0,2354.0
11-8-2020,3047.0,2398.0
12-8-2020,2475.0,1832.0
13-8-2020,1806.0,95.0
14-8-2020,723.0,3533.0
15-8-2020,3665.0,3660.0
16-8-2020,372.0,612.0
17-8-2020,4829.0,4308.0
18-8-2020,3513.0,3197.0
19-8-2020,2923.0,2289.0
20-8-2020,1120.0,128.0
21-8-2020,3428.0,4155.0
22-8-2020,484.0,25.0
23-8-2020,412.0,1931.0
24-8-2020,2643.0,2434.0
25-8-2020,2672.0,2478.0
26-8-2020,2523.0,2189.0
27-8-2020,0.0,0.0
28-8-2020,3759.0,3814.0
29-8-2020,345.0,873.0
30-8-2020,329.0,550.0
31-8-2020,3169.0,2770.0
1-9-2020,1532.0,1672.0
2-9-2020,1939.0,1653.0
3-9-2020,2218.0,2208.0
4-9-2020,258.0,692.0
5-9-2020,71.0,42.0
6-9-2020,234.0,25.0
7-9-2020,321.0,1564.0
8-9-2020,500.0,815.0
9-9-2020,940.0,1100.0
10-9-2020,5640.0,4015.0
11-9-2020,323.0,740.0
12-9-2020,1715.0,5.0
13-9-2020,320.0,2061.0
14-9-2020,1607.0,177.0
15-9-2020,1764.0,3403.0
16-9-2020,661.0,1096.0
17-9-2020,2955.0,2118.0
18-9-2020,1463.0,1444.0
19-9-2020,648.0,781.0
20-9-2020,137.0,-3197.0
21-9-2020,1710.0,5129.0
22-9-2020,1129.0,1342.0
23-9-2020,3100.0,2671.0
24-9-2020,1503.0,1821.0
25-9-2020,182.0,832.0
26-9-2020,2190.0,1616.0
27-9-2020,146.0,512.0
28-9-2020,1693.0,1259.0
29-9-2020,1084.0,1479.0
30-9-2020,1452.0,1367.0
1-10-2020,4160.0,98.0
2-10-2020,1180.0,4688.0
3-10-2020,126.0,510.0
4-10-2020,1637.0,1449.0
5-10-2020,2077.0,103.0
6-10-2020,2024.0,3842.0
7-10-2020,2705.0,2460.0
8-10-2020,1936.0,1930.0
9-10-2020,1327.0,62.0
10-10-2020,268.0,1590.0
11-10-2020,183.0,4.0
12-10-2020,195.0,24.0
13-10-2020,1152.0,104.0
14-10-2020,1077.0,115.0
15-10-2020,3158.0,99.0
16-10-2020,129.0,61.0
17-10-2020,1309.0,50.0
18-10-2020,535.0,5.0
19-10-2020,1208.0,66.0
20-10-2020,1319.0,109.0
21-10-2020,1081.0,76.0
22-10-2020,1776.0,94.0
23-10-2020,2026.0,56.0
24-10-2020,557.0,32.0
25-10-2020,3366.0,10.0
26-10-2020,2160.0,20860.0
27-10-2020,1766.0,1634.0
28-10-2020,1345.0,1168.0
29-10-2020,1479.0,1490.0
30-10-2020,481.0,705.0
31-10-2020,1037.0,1205.0
1-11-2020,294.0,614.0
2-11-2020,1781.0,2193.0
3-11-2020,0.0,916.0
4-11-2020,754.0,90.0
5-11-2020,966.0,984.0
6-11-2020,539.0,901.0
7-11-2020,822.0,-130.0
8-11-2020,405.0,639.0
9-11-2020,2378.0,2001.0
10-11-2020,1645.0,1568.0
11-11-2020,1785.0,1747.0
12-11-2020,623.0,950.0
13-11-2020,3639.0,122.0
14-11-2020,311.0,10.0
15-11-2020,499.0,3810.0
16-11-2020,2554.0,1797.0
17-11-2020,2387.0,1988.0
18-11-2020,2118.0,1866.0
19-11-2020,2401.0,1966.0
20-11-2020,362.0,33.0
21-11-2020,926.0,1026.0
22-11-2020,485.0,2007.0
23-11-2020,2145.0,1868.0
24-11-2020,3162.0,2554.0
25-11-2020,2029.0,1869.0
26-11-2020,1324.0,1627.0
27-11-2020,5412.0,91.0
28-11-2020,556.0,22.0
29-11-2020,1038.0,29.0
30-11-2020,3628.0,9003.0
1-12-2020,3415.0,2799.0
2-12-2020,3788.0,3055.0
3-12-2020,2456.0,2472.0
4-12-2020,2626.0,2915.0
5-12-2020,808.0,1558.0
6-12-2020,301.0,1293.0
7-12-2020,3377.0,3006.0
8-12-2020,3331.0,160.0
9-12-2020,3560.0,6258.0
10-12-2020,3298.0,2957.0
11-12-2020,3489.0,88.0
12-12-2020,694.0,4621.0
13-12-2020,768.0,1359.0
14-12-2020,1457.0,2275.0
15-12-2020,4036.0,3509.0
16-12-2020,3493.0,3438.0
17-12-2020,3601.0,147.0
18-12-2020,1180.0,4948.0
19-12-2020,3160.0,19.0
20-12-2020,755.0,4309.0
21-12-2020,3794.0,3382.0
22-12-2020,2975.0,179.0
23-12-2020,4199.0,54.0
24-12-2020,603.0,73.0
25-12-2020,929.0,9442.0
26-12-2020,994.0,1461.0
27-12-2020,605.0,980.0
28-12-2020,4585.0,4052.0
29-12-2020,2114.0,2141.0
30-12-2020,6275.0,-460.0
31-12-2020,742.0,70.0
1-1-2021,214.0,7848.0
2-1-2021,135.0,905.0
3-1-2021,3606.0,658.0
4-1-2021,4262.0,5938.0
5-1-2021,4482.0,4024.0
6-1-2021,4669.0,224.0
7-1-2021,1517.0,5546.0
8-1-2021,5591.0,4850.0
9-1-2021,1061.0,1669.0
10-1-2021,634.0,1176.0
11-1-2021,3589.0,205.0
12-1-2021,4287.0,6685.0
13-1-2021,4211.0,3691.0
14-1-2021,3396.0,3044.0
15-1-2021,4067.0,3813.0
16-1-2021,947.0,36.0
17-1-2021,373.0,1648.0
18-1-2021,4375.0,11917.0
19-1-2021,4015.0,189.0
20-1-2021,3306.0,402.0
21-1-2021,669.0,1321.0
22-1-2021,5389.0,220.0
23-1-2021,1017.0,6209.0
24-1-2021,234.0,1080.0
25-1-2021,4160.0,187.0
26-1-2021,3517.0,7422.0
27-1-2021,3678.0,187.0
28-1-2021,4077.0,7333.0
29-1-2021,3862.0,3777.0
30-1-2021,237.0,862.0
31-1-2021,2031.0,2198.0
1-2-2021,3278.0,3237.0
2-2-2021,3249.0,3210.0
3-2-2021,2852.0,2958.0
4-2-2021,2757.0,2734.0
5-2-2021,2690.0,51.0
6-2-2021,162.0,1.0
7-2-2021,2101.0,103.0
8-2-2021,1009.0,6938.0
9-2-2021,5985.0,5346.0
10-2-2021,2033.0,184.0
11-2-2021,2768.0,2203.0
12-2-2021,2158.0,4873.0
13-2-2021,795.0,1025.0
14-2-2021,706.0,25.0
15-2-2021,8385.0,9764.0
16-2-2021,587.0,932.0
17-2-2021,2415.0,181.0
18-2-2021,2256.0,2230.0
19-2-2021,2250.0,3872.0
20-2-2021,573.0,788.0
21-2-2021,859.0,83.0
22-2-2021,409.0,1603.0
23-2-2021,3908.0,171.0
24-2-2021,1935.0,4773.0
25-2-2021,424.0,190.0
26-2-2021,2622.0,2226.0
27-2-2021,880.0,1046.0
28-2-2021,751.0,853.0
1-3-2021,1825.0,1563.0
2-3-2021,2180.0,1726.0
3-3-2021,1894.0,1588.0
4-3-2021,2251.0,2009.0
