Fecha,Casos confirmados
2020/05/26,2.0
2020/06/02,2.0
2020/06/09,44.0
2020/06/16,4.0
2020/06/23,44.0
2020/06/30,54.0
2020/07/07,35.0
2020/07/14,2.0
2020/07/21,54.0
2020/07/28,36.0
2020/08/04,8.0
2020/08/11,67.0
2020/08/18,21.0
2020/08/25,92.0
2020/09/01,6.0
2020/09/08,16.0
2020/09/15,47.0
2020/09/22,21.0
2020/09/29,44.0
2020/10/06,53.0
2020/10/13,5.0
2020/10/20,2.0
2020/10/27,82.0
2020/11/03,68.0
2020/11/10,2.0
2020/11/17,96.0
2020/11/24,24.0
2020/12/01,76.0
2020/12/09,47.0
2020/12/15,85.0
2020/12/22,51.0
2020/12/29,7.0
2021/01/05,56.0
2021/01/12,4.0
2021/01/19,55.0
2021/01/26,85.0
2021/02/02,3.0
2021/02/09,81.0
2021/02/16,16.0
2021/02/23,84.0
2021/03/02,81.0
2021/03/09,29.0
2021/03/16,24.0
2021/03/23,69.0
2021/03/30,61.0
2021/04/06,53.0
2021/04/13,65.0
2021/04/20,89.0
2021/04/27,82.0
2021/05/04,49.0
2021/05/11,33.0
2021/05/18,15.0
2021/05/25,3.0
2021/06/01,27.0
2021/06/08,42.0
2021/06/15,9.0
2021/06/22,71.0
2021/06/29,11.0
2021/07/13,54.0
2021/07/20,69.0
2021/07/27,14.0
2021/08/03,82.0
2021/08/10,11.0
2021/08/17,69.0
2021/08/24,86.0
2021/08/31,39.0
2021/09/07,15.0
2021/09/14,82.0
2021/09/21,14.0
2021/09/28,3.0
2021/10/05,83.0
2021/10/13,2.0
2021/10/19,41.0
2021/10/26,93.0
2021/11/02,6.0
2021/11/16,99.0
2021/11/23,22.0
2021/11/30,72.0
2021/12/07,67.0
2021/12/14,26.0
2021/12/21,11.0
2021/12/28,21.0
2022/01/04,63.0
2022/01/11,31.0
2022/01/18,48.0
2022/01/25,45.0
2022/02/01,14.0
2022/02/08,26.0
2022/02/15,82.0
2022/02/22,1.0
2022/03/01,59.0
2022/03/08,22.0
2022/03/15,41.0
2022/03/22,49.0
