Datas,Região Metropolitana de Santiago
2020/03/15,14
2020/03/16,69
2020/03/17,29
2020/03/18,22
2020/03/19,73
2020/03/20,57
2020/03/21,55
2020/03/22,50
2020/03/23,50
2020/03/24,81
2020/03/25,142
2020/03/26,64
2020/03/27,192
2020/03/28,146
2020/03/29,83
2020/03/30,128
2020/03/31,125
2020/04/01,101
2020/04/02,115
2020/04/03,106
2020/04/04,215
2020/04/05,145
2020/04/06,142
2020/04/07,106
2020/04/08,198
2020/04/09,284
2020/04/10,361
2020/04/11,255
2020/04/12,151
2020/04/13,204
2020/04/14,283
2020/04/15,248
2020/04/16,348
2020/04/17,233
2020/04/18,277
2020/04/19,189
2020/04/20,262
2020/04/21,145
2020/04/22,295
2020/04/23,351
2020/04/24,327
2020/04/25,404
2020/04/26,331
2020/04/27,362
2020/04/28,442
2020/04/29,589
2020/04/30,736
2020/05/01,891
2020/05/02,1145
2020/05/03,995
2020/05/04,872
2020/05/05,1179
2020/05/06,875
2020/05/07,1246
2020/05/08,1151
2020/05/09,978
2020/05/10,1396
2020/05/11,964
2020/05/12,1392
2020/05/13,2256
2020/05/14,2251
2020/05/15,2060
2020/05/16,1518
2020/05/17,1890
2020/05/18,1767
2020/05/19,3140
2020/05/20,3588
2020/05/21,3462
2020/05/22,3709
2020/05/23,3049
2020/05/24,3145
2020/05/25,4386
2020/05/26,3355
2020/05/27,3726
2020/05/28,3904
2020/05/29,2995
2020/05/30,3341
2020/05/31,4253
2020/06/01,4735
2020/06/02,2955
2020/06/03,3997
2020/06/04,3699
2020/06/05,3176
2020/06/06,4128
2020/06/07,5268
2020/06/08,3674
2020/06/09,2990
2020/06/10,4620
2020/06/11,4389
2020/06/12,5559
2020/06/13,5057
2020/06/14,5647
2020/06/15,3882
2020/06/16,4022
2020/06/17,3539
2020/06/18,3021
2020/06/19,4421
2020/06/20,3603
2020/06/21,3789
2020/06/22,3026
2020/06/23,2469
2020/06/24,2350
2020/06/25,3035
2020/06/26,2616
2020/06/27,2957
2020/06/28,2569
2020/06/29,2508
2020/06/30,2255
2020/07/01,1316
2020/07/02,1353
2020/07/03,2072
2020/07/04,2236
2020/07/05,2080
2020/07/06,1648
2020/07/07,1315
2020/07/08,987
2020/07/09,1687
2020/07/10,1525
2020/07/11,1329
2020/07/12,1661
2020/07/13,1431
2020/07/14,864
2020/07/15,690
2020/07/16,1193
2020/07/17,1501
2020/07/18,1086
2020/07/19,828
2020/07/20,965
2020/07/21,685
2020/07/22,714
2020/07/23,1013
2020/07/24,1066
2020/07/25,886
2020/07/26,802
2020/07/27,912
