Datas,Riad
2020/03/09,1
2020/03/13,3
2020/03/14,12
2020/03/15,2
2020/03/16,4
2020/03/17,19
2020/03/18,19
2020/03/19,21
2020/03/20,49
2020/03/21,36
2020/03/22,34
2020/03/23,18
2020/03/24,69
2020/03/25,83
2020/03/26,34
2020/03/27,46
2020/03/28,41
2020/03/29,27
2020/03/31,33
2020/04/01,7
2020/04/02,7
2020/04/03,13
2020/04/04,80
2020/04/05,36
2020/04/06,65
2020/04/07,97
2020/04/08,83
2020/04/09,69
2020/04/10,76
2020/04/11,198
2020/04/12,118
2020/04/13,114
2020/04/14,56
2020/04/15,84
2020/04/16,24
2020/04/17,225
2020/04/18,85
2020/04/19,200
2020/04/20,148
2020/04/21,164
2020/04/22,157
2020/04/23,131
2020/04/24,170
2020/04/25,267
2020/04/26,178
2020/04/27,171
2020/04/28,203
2020/04/29,440
2020/04/30,282
2020/05/01,161
2020/05/02,109
2020/05/03,131
2020/05/04,230
2020/05/05,149
2020/05/06,194
2020/05/07,142
2020/05/08,316
2020/05/09,363
2020/05/10,520
2020/05/11,443
2020/05/12,673
2020/05/13,478
2020/05/14,419
2020/05/15,839
2020/05/16,488
2020/05/17,642
2020/05/18,730
2020/05/19,815
2020/05/20,714
2020/05/21,856
2020/05/22,794
2020/05/23,742
2020/05/24,765
2020/05/25,789
2020/05/26,739
2020/05/27,611
2020/05/28,483
2020/05/29,679
2020/05/30,504
2020/05/31,668
2020/06/01,556
2020/06/02,683
2020/06/03,675
2020/06/04,719
2020/06/05,900
2020/06/06,717
2020/06/07,746
2020/06/08,1099
2020/06/09,1317
2020/06/10,1431
2020/06/11,1584
2020/06/12,1089
2020/06/13,1735
2020/06/14,1658
2020/06/15,1629
2020/06/16,2371
2020/06/17,1442
2020/06/18,1091
2020/06/19,740
2020/06/20,668
2020/06/21,438
2020/06/22,299
2020/06/23,225
2020/06/24,241
2020/06/25,217
2020/06/26,181
2020/06/27,389
2020/06/28,363
2020/06/29,342
2020/06/30,401
2020/07/01,397
2020/07/02,383
2020/07/03,360
2020/07/04,332
2020/07/05,330
2020/07/06,308
2020/07/07,288
2020/07/08,364
2020/07/09,296
2020/07/10,285
2020/07/11,247
2020/07/12,258
2020/07/13,211
2020/07/14,226
2020/07/15,208
2020/07/16,185
2020/07/17,212
2020/07/18,178
2020/07/19,169
2020/07/20,158
2020/07/21,136
2020/07/22,143
2020/07/23,139
2020/07/24,118
2020/07/25,126
2020/07/26,106
2020/07/27,118
2020/07/28,108
2020/07/29,114
2020/07/30,99
2020/07/31,102
2020/08/01,94
2020/08/02,89
2020/08/03,97
2020/08/04,109
2020/08/05,93
2020/08/06,89
2020/08/07,101
2020/08/08,106
2020/08/09,88
2020/08/10,101
2020/08/11,78
2020/08/12,86
2020/08/13,63
2020/08/14,59
2020/08/15,62
2020/08/16,45
2020/08/17,64
2020/08/18,49
2020/08/19,59
2020/08/20,43
2020/08/21,53
2020/08/22,40
2020/08/23,37
2020/08/24,51
2020/08/25,55
2020/08/26,56
2020/08/27,61
2020/08/28,48
2020/08/29,45
2020/08/30,38
2020/08/31,46
2020/09/01,44
2020/09/02,37
2020/09/03,41
2020/09/04,38
2020/09/05,39
2020/09/06,46
2020/09/07,43
2020/09/08,40
2020/09/09,38
2020/09/10,37
2020/09/11,35
2020/09/12,40
2020/09/13,42
2020/09/14,44
2020/09/15,41
2020/09/16,39
2020/09/17,35
2020/09/18,29
2020/09/19,30
2020/09/20,32
2020/09/21,33
2020/09/22,34
2020/09/23,36
2020/09/24,30
2020/09/25,27
2020/09/26,29
2020/09/27,33
2020/09/28,35
2020/09/29,31
2020/09/30,26
2020/10/01,28
2020/10/02,25
2020/10/03,29
2020/10/04,24
2020/10/05,28
2020/10/06,25
2020/10/07,30
2020/10/08,23
2020/10/09,32
2020/10/10,27
2020/10/11,24
2020/10/12,29
