,Dias,Casos confirmados
0,2020/01/06,0
1,2020/01/07,0
2,2020/01/10,0
3,2020/01/12,0
4,2020/01/27,0
5,2020/01/30,0
6,2020/02/05,0
7,2020/02/06,0
8,2020/02/14,0
9,2020/02/21,0
10,2020/02/25,0
11,2020/02/27,1
12,2020/02/28,0
13,2020/03/02,1
14,2020/03/03,1
15,2020/03/04,1
16,2020/03/06,0
17,2020/03/08,0
18,2020/03/09,1
19,2020/03/10,0
20,2020/03/11,0
21,2020/03/12,0
22,2020/03/13,0
23,2020/03/14,0
24,2020/03/15,0
25,2020/03/16,0
26,2020/03/17,1
27,2020/03/18,2
28,2020/03/19,0
29,2020/03/20,1
30,2020/03/21,1
31,2020/03/22,1
32,2020/03/23,1
33,2020/03/24,4
34,2020/03/25,5
35,2020/03/26,7
36,2020/03/27,3
37,2020/03/28,3
38,2020/03/29,0
39,2020/03/30,2
40,2020/03/31,6
41,2020/04/01,7
42,2020/04/02,2
43,2020/04/03,4
44,2020/04/04,2
45,2020/04/05,0
46,2020/04/06,3
47,2020/04/07,0
48,2020/04/08,4
49,2020/04/09,3
50,2020/04/10,6
51,2020/04/11,7
52,2020/04/12,7
53,2020/04/13,4
54,2020/04/14,3
55,2020/04/15,7
56,2020/04/16,3
57,2020/04/17,6
58,2020/04/18,4
59,2020/04/19,2
60,2020/04/20,6
61,2020/04/21,6
62,2020/04/22,6
63,2020/04/23,12
64,2020/04/24,11
65,2020/04/25,6
66,2020/04/26,6
67,2020/04/27,7
68,2020/04/28,9
69,2020/04/29,15
70,2020/04/30,4
71,2020/05/01,5
72,2020/05/02,6
73,2020/05/03,7
74,2020/05/04,7
75,2020/05/05,16
76,2020/05/06,10
77,2020/05/07,20
78,2020/05/08,8
79,2020/05/09,7
80,2020/05/10,7
81,2020/05/11,9
82,2020/05/12,13
83,2020/05/13,18
84,2020/05/14,14
85,2020/05/15,18
86,2020/05/16,29
87,2020/05/17,13
88,2020/05/18,15
89,2020/05/19,16
90,2020/05/20,48
91,2020/05/21,51
92,2020/05/22,45
93,2020/05/23,33
94,2020/05/24,33
95,2020/05/25,21
96,2020/05/26,30
97,2020/05/27,44
98,2020/05/28,43
99,2020/05/29,54
100,2020/05/30,38
101,2020/05/31,45
102,2020/06/01,59
103,2020/06/02,73
104,2020/06/03,81
105,2020/06/04,81
106,2020/06/05,82
107,2020/06/06,94
108,2020/06/07,73
109,2020/06/08,94
110,2020/06/09,132
111,2020/06/10,125
112,2020/06/11,144
113,2020/06/12,189
114,2020/06/13,162
115,2020/06/14,132
116,2020/06/15,140
