date,Brasília_df_0824,joacaba_sc_0827,balneario_camboriu_sc_0845,Curitiba_parana_0823
2020/03/07,1,,,
2020/03/08,0,,,
2020/03/09,0,,,
2020/03/10,0,,,
2020/03/11,1,,,
2020/03/12,0,,,5.0
2020/03/13,0,,,0.0
2020/03/14,6,,,0.0
2020/03/15,6,,,0.0
2020/03/16,5,,,0.0
2020/03/17,0,,,2.0
2020/03/18,15,,2.0,1.0
2020/03/19,8,,2.0,9.0
2020/03/20,45,,0.0,10.0
2020/03/21,21,,2.0,4.0
2020/03/22,9,,0.0,0.0
2020/03/23,21,,0.0,3.0
2020/03/24,23,,3.0,6.0
2020/03/25,34,,-2.0,20.0
2020/03/26,-24,,1.0,6.0
2020/03/27,40,,1.0,5.0
2020/03/28,14,,0.0,3.0
2020/03/29,45,,0.0,-1.0
2020/03/30,15,,0.0,4.0
2020/03/31,20,,0.0,10.0
2020/04/01,24,,1.0,10.0
2020/04/02,44,1.0,0.0,2.0
2020/04/03,9,0.0,0.0,15.0
2020/04/04,36,0.0,2.0,39.0
2020/04/05,10,0.0,0.0,19.0
2020/04/06,14,0.0,0.0,3.0
2020/04/07,24,0.0,4.0,19.0
2020/04/08,6,0.0,8.0,11.0
2020/04/09,14,0.0,24.0,32.0
2020/04/10,32,0.0,3.0,14.0
2020/04/11,27,0.0,1.0,28.0
2020/04/12,31,0.0,4.0,23.0
2020/04/13,22,0.0,1.0,-3.0
2020/04/14,12,0.0,0.0,3.0
2020/04/15,32,3.0,3.0,4.0
2020/04/16,32,0.0,-3.0,14.0
2020/04/17,28,0.0,1.0,15.0
2020/04/18,38,0.0,1.0,11.0
2020/04/19,43,0.0,1.0,14.0
2020/04/20,34,1.0,-1.0,9.0
2020/04/21,37,0.0,0.0,4.0
2020/04/22,44,0.0,0.0,7.0
2020/04/23,8,1.0,4.0,9.0
2020/04/24,38,0.0,3.0,8.0
2020/04/25,12,1.0,0.0,4.0
2020/04/26,95,1.0,2.0,3.0
2020/04/27,68,0.0,0.0,10.0
2020/04/28,39,2.0,22.0,12.0
2020/04/29,79,4.0,3.0,8.0
2020/04/30,105,4.0,6.0,10.0
2020/05/01,116,-2.0,-4.0,9.0
2020/05/02,63,0.0,1.0,14.0
2020/05/03,95,0.0,5.0,3.0
2020/05/04,54,0.0,0.0,15.0
2020/05/05,37,0.0,1.0,6.0
2020/05/06,186,0.0,9.0,9.0
2020/05/07,185,0.0,7.0,6.0
2020/05/08,139,0.0,4.0,8.0
