Datas,Rio de Janeiro,Dados salvos
2020/01/04,2,
2020/01/06,1,
2020/01/09,2,
2020/01/11,2,
2020/01/12,2,
2020/01/13,2,
2020/01/14,2,
2020/01/15,4,
2020/01/16,2,
2020/01/17,2,
2020/01/19,3,
2020/01/20,2,
2020/01/28,1,
2020/01/29,1,
2020/01/30,1,
2020/02/02,4,
2020/02/11,2,
2020/02/20,1,
2020/02/27,2,
2020/02/28,1,
2020/03/03,2,
2020/03/04,4,
2020/03/05,2,
2020/03/06,5,
2020/03/07,9,
2020/03/08,1,
2020/03/09,4,
2020/03/10,20,
2020/03/11,16,
2020/03/12,20,
2020/03/13,26,
2020/03/14,9,
2020/03/15,17,
2020/03/16,20,
2020/03/17,91,
2020/03/18,65,
2020/03/19,79,
2020/03/20,85,
2020/03/21,27,
2020/03/22,33,
2020/03/23,122,
2020/03/24,122,
2020/03/25,106,
2020/03/26,137,
2020/03/27,267,
2020/03/28,114,
2020/03/29,77,
2020/03/30,453,
2020/03/31,350,
2020/04/01,283,
2020/04/02,351,
2020/04/03,384,
2020/04/04,156,
2020/04/05,109,
2020/04/06,618,
2020/04/07,613,
2020/04/08,502,
2020/04/09,369,
2020/04/10,406,
2020/04/11,386,
2020/04/12,419,
2020/04/13,740,
2020/04/14,1063,
2020/04/15,846,
2020/04/16,829,
2020/04/17,691,
2020/04/18,280,
2020/04/19,342,
2020/04/20,1254,
2020/04/21,353,
2020/04/22,842,
2020/04/23,374,
2020/04/24,1309,
2020/04/25,392,
2020/04/26,313,
2020/04/27,1359,
2020/04/28,1668,
2020/04/29,1084,
2020/04/30,1197,
2020/05/01,402,
2020/05/02,389,
2020/05/03,328,
2020/05/04,1272,
2020/05/05,1147,
2020/05/06,1058,
2020/05/07,1004,
2020/05/08,1041,
2020/05/09,295,
2020/05/10,244,
2020/05/11,790,
2020/05/12,1088,
2020/05/13,1160,
2020/05/14,872,
2020/05/15,773,
2020/05/16,370,
2020/05/17,290,
2020/05/18,836,
2020/05/19,1272,
2020/05/20,1020,
2020/05/21,1126,
2020/05/22,921,
2020/05/23,345,
2020/05/24,539,
2020/05/25,883,
2020/05/26,675,
2020/05/27,1197,
2020/05/28,988,
2020/05/29,882,
2020/05/30,391,
2020/05/31,471,
2020/06/01,962,
2020/06/02,838,
2020/06/03,1004,
2020/06/04,729,
2020/06/05,586,
2020/06/06,186,
2020/06/07,202,
2020/06/08,846,
2020/06/09,879,
2020/06/10,799,
2020/06/11,232,
2020/06/12,800,
2020/06/13,297,
2020/06/14,339,
2020/06/15,1298,
2020/06/16,1399,
2020/06/17,1608,
2020/06/18,990,
2020/06/19,1052,
2020/06/20,185,
2020/06/21,250,
2020/06/22,1188,
2020/06/23,736,
2020/06/24,838,
2020/06/25,752,
2020/06/26,536,
2020/06/27,280,
2020/06/28,134,
2020/06/29,613,
2020/06/30,817,
2020/07/01,712,
2020/07/02,667,
2020/07/03,474,
2020/07/04,229,
2020/07/05,203,
2020/07/06,651,
2020/07/07,606,
2020/07/08,548,
2020/07/09,439,
2020/07/10,446,
2020/07/11,132,
2020/07/12,167,
2020/07/13,469,
2020/07/14,436,
2020/07/15,393,
2020/07/16,243,
2020/07/17,388,
2020/07/18,106,
2020/07/19,66,
2020/07/20,482,
2020/07/21,765,
2020/07/22,583,
2020/07/23,566,
2020/07/24,468,
2020/07/25,263,
2020/07/26,266,
2020/07/27,666,
2020/07/28,787,
2020/07/29,611,
2020/07/30,412,
2020/07/31,627,
2020/08/01,121,
2020/08/02,85,
2020/08/03,584,
2020/08/04,669,
2020/08/05,587,
2020/08/06,481,
2020/08/07,529,
2020/08/08,167,
2020/08/09,81,
2020/08/10,794,
2020/08/11,1390,
2020/08/12,912,
2020/08/13,1380,
2020/08/14,760,
2020/08/15,186,
2020/08/16,168,
2020/08/17,912,
2020/08/18,1130,
2020/08/19,967,
2020/08/20,815,
2020/08/21,812,
2020/08/22,145,
2020/08/23,396,
2020/08/24,797,
2020/08/25,821,
2020/08/26,606,
2020/08/27,504,
2020/08/28,462,
2020/08/29,182,
2020/08/30,99,
2020/08/31,787,
2020/09/01,771,
2020/09/02,723,
2020/09/03,633,
2020/09/04,501,
2020/09/05,275,
2020/09/06,157,
2020/09/07,137,
2020/09/08,824,
2020/09/09,778,
2020/09/10,1078,
2020/09/11,577,
2020/09/12,192,
2020/09/13,144,
2020/09/14,862,
2020/09/15,744,
2020/09/16,830,
2020/09/17,700,
2020/09/18,742,
2020/09/19,194,
2020/09/20,153,
2020/09/21,816,
2020/09/22,847,
2020/09/23,634,
2020/09/24,589,
2020/09/25,606,
2020/09/26,268,
2020/09/27,124,
2020/09/28,894,
2020/09/29,1069,
2020/09/30,725,
2020/10/01,777,
2020/10/02,926,
2020/10/03,182,
2020/10/04,123,
2020/10/05,1070,
2020/10/06,784,
2020/10/07,738,
2020/10/08,700,
2020/10/09,729,
2020/10/10,186,
2020/10/11,119,
2020/10/12,142,
2020/10/13,945,
2020/10/14,801,
2020/10/15,689,
2020/10/16,675,
2020/10/17,296,
2020/10/18,129,
2020/10/19,553,
2020/10/20,620,
2020/10/21,478,
2020/10/22,524,
2020/10/23,584,
2020/10/24,164,
2020/10/25,117,
2020/10/26,818,
2020/10/27,686,
2020/10/28,525,
2020/10/29,649,
2020/10/30,423,
2020/10/31,256,
2020/11/01,217,
2020/11/02,236,
2020/11/03,794,
2020/11/04,620,
2020/11/05,865,
2020/11/06,779,
2020/11/07,245,
2020/11/08,191,
2020/11/09,1094,
2020/11/10,988,
2020/11/11,859,
2020/11/12,893,
2020/11/13,978,
2020/11/14,335,
2020/11/15,204,
2020/11/16,1385,
2020/11/17,1203,
2020/11/18,1177,
2020/11/19,1206,
2020/11/20,456,
2020/11/21,460,
2020/11/22,284,
2020/11/23,1662,
2020/11/24,1997,
2020/11/25,1547,
2020/11/26,2013,
2020/11/27,1988,
2020/11/28,670,
2020/11/29,292,
2020/11/30,2789,
2020/12/01,2268,
2020/12/02,2196,
2020/12/03,2043,
2020/12/04,1876,
2020/12/05,503,
2020/12/06,304,
2020/12/07,2306,
2020/12/08,2418,
2020/12/09,2091,
2020/12/10,2056,
2020/12/11,1816,
2020/12/12,330,
2020/12/13,278,
2020/12/14,1601,
2020/12/15,2169,
2020/12/16,1741,
2020/12/17,1815,
2020/12/18,1403,
2020/12/19,463,
2020/12/20,287,
2020/12/21,2048,
2020/12/22,1548,
2020/12/23,1512,
2020/12/24,621,
2020/12/25,202,
2020/12/26,523,
2020/12/27,201,
2020/12/28,2593,
2020/12/29,2046,
2020/12/30,1716,
2020/12/31,664,
2021/01/01,268,
2021/01/02,474,
2021/01/03,264,
2021/01/04,2913,
2021/01/05,2181,
2021/01/06,1788,
2021/01/07,1596,
2021/01/08,1450,
2021/01/09,461,
2021/01/10,274,
2021/01/11,1856,
2021/01/12,1602,
2021/01/13,1314,
2021/01/14,1325,
2021/01/15,1138,
2021/01/16,340,
2021/01/17,236,
2021/01/18,1550,
2021/01/19,1078,
2021/01/20,337,
2021/01/21,929,
2021/01/22,1049,
2021/01/23,268,
2021/01/24,149,
2021/01/25,1211,
2021/01/26,990,
2021/01/27,939,
2021/01/28,830,
2021/01/29,643,
2021/01/30,185,
2021/01/31,254,
2021/02/01,784,
2021/02/02,740,
2021/02/03,604,
2021/02/04,595,
2021/02/05,584,
2021/02/06,186,
2021/02/07,142,
2021/02/08,773,
2021/02/09,634,
2021/02/10,651,
2021/02/11,595,
2021/02/12,542,
2021/02/13,152,
2021/02/14,85,
2021/02/15,571,
2021/02/16,190,
2021/02/17,773,
2021/02/18,691,
2021/02/19,641,
2021/02/20,173,
2021/02/21,98,
2021/02/22,969,
2021/02/23,705,
2021/02/24,749,
2021/02/25,694,
2021/02/26,583,
2021/02/27,159,
2021/02/28,103,
2021/03/01,867,
2021/03/02,735,
2021/03/03,794,
2021/03/04,895,
2021/03/05,830,
2021/03/06,168,
2021/03/07,151,
2021/03/08,1394,
2021/03/09,1042,
2021/03/10,1171,
2021/03/11,1059,
2021/03/12,1126,
2021/03/13,319,
2021/03/14,202,
2021/03/15,1819,
2021/03/16,1410,
2021/03/17,1457,
2021/03/18,1400,
2021/03/19,1355,
2021/03/20,473,
2021/03/21,289,
2021/03/22,2241,
2021/03/23,1750,
2021/03/24,1494,
2021/03/25,1497,
2021/03/26,1548,
2021/03/27,494,
2021/03/28,375,
2021/03/29,2115,
2021/03/30,1748,
2021/03/31,1643,
2021/04/01,1499,
2021/04/02,601,
2021/04/03,548,
2021/04/04,302,
2021/04/05,2367,
2021/04/06,1633,
2021/04/07,1503,
2021/04/08,1499,
2021/04/09,1332,
2021/04/10,402,
2021/04/11,224,
2021/04/12,1905,
2021/04/13,1348,
2021/04/14,1426,
2021/04/15,1433,
2021/04/16,1475,
2021/04/17,429,
2021/04/18,278,
2021/04/19,1905,
2021/04/20,1610,
2021/04/21,859,
2021/04/22,1431,
2021/04/23,956,
2021/04/24,398,
2021/04/25,240,
2021/04/26,2220,
2021/04/27,1725,
2021/04/28,1426,
2021/04/29,1291,
2021/04/30,1185,
2021/05/01,338,
2021/05/02,232,
2021/05/03,1807,
2021/05/04,1542,
2021/05/05,1573,
2021/05/06,1591,
2021/05/07,1372,
2021/05/08,353,
2021/05/09,234,
2021/05/10,1866,
2021/05/11,1672,
2021/05/12,1495,
2021/05/13,1480,
2021/05/14,1425,
2021/05/15,575,
2021/05/16,283,
2021/05/17,2102,
2021/05/18,1828,
2021/05/19,1682,
2021/05/20,1585,
2021/05/21,1587,
2021/05/22,600,
2021/05/23,249,
2021/05/24,2026,
2021/05/25,1635,
2021/05/26,1397,
2021/05/27,1597,
2021/05/28,1307,
2021/05/29,597,
2021/05/30,307,
2021/05/31,1967,
